# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.6500000e+00    9.8734453e-01    9.8748073e-01
2.6600000e+00    9.8928325e-01    9.8941925e-01
2.6700000e+00    9.9122198e-01    9.9135777e-01
2.6800000e+00    9.9316070e-01    9.9329628e-01
2.6900000e+00    9.9509942e-01    9.9523480e-01
2.7000000e+00    9.9703815e-01    9.9717331e-01
2.7100000e+00    9.9897687e-01    9.9911183e-01
2.7200000e+00    1.0009156e+00    1.0010503e+00
2.7300000e+00    1.0028543e+00    1.0029889e+00
2.7400000e+00    1.0047930e+00    1.0049274e+00
2.7500000e+00    1.0067318e+00    1.0068659e+00
2.7600000e+00    1.0086705e+00    1.0088044e+00
2.7700000e+00    1.0106092e+00    1.0107429e+00
2.7800000e+00    1.0125479e+00    1.0126814e+00
2.7900000e+00    1.0144867e+00    1.0146200e+00
2.8000000e+00    1.0164254e+00    1.0165585e+00
2.8100000e+00    1.0183641e+00    1.0184970e+00
2.8200000e+00    1.0203028e+00    1.0204355e+00
2.8300000e+00    1.0222416e+00    1.0223740e+00
2.8400000e+00    1.0241803e+00    1.0243125e+00
2.8500000e+00    1.0261190e+00    1.0262511e+00
2.8600000e+00    1.0280577e+00    1.0281896e+00
2.8700000e+00    1.0299965e+00    1.0301281e+00
2.8800000e+00    1.0319352e+00    1.0320666e+00
2.8900000e+00    1.0338739e+00    1.0340051e+00
2.9000000e+00    1.0358126e+00    1.0359436e+00
2.9100000e+00    1.0377513e+00    1.0378821e+00
2.9200000e+00    1.0396901e+00    1.0398207e+00
2.9300000e+00    1.0416288e+00    1.0417592e+00
2.9400000e+00    1.0435332e+00    1.0436634e+00
2.9500000e+00    1.0453517e+00    1.0454816e+00
2.9600000e+00    1.0471683e+00    1.0472980e+00
2.9700000e+00    1.0489750e+00    1.0491044e+00
2.9800000e+00    1.0507652e+00    1.0508944e+00
2.9900000e+00    1.0525555e+00    1.0526844e+00
3.0000000e+00    1.0543457e+00    1.0544744e+00
3.0100000e+00    1.0561359e+00    1.0562644e+00
3.0200000e+00    1.0579262e+00    1.0580544e+00
3.0300000e+00    1.0597164e+00    1.0598444e+00
3.0400000e+00    1.0615066e+00    1.0616344e+00
3.0500000e+00    1.0632969e+00    1.0634244e+00
3.0600000e+00    1.0650871e+00    1.0652144e+00
3.0700000e+00    1.0668774e+00    1.0670044e+00
3.0800000e+00    1.0686676e+00    1.0687944e+00
3.0900000e+00    1.0704427e+00    1.0705692e+00
3.1000000e+00    1.0721972e+00    1.0723234e+00
3.1100000e+00    1.0739517e+00    1.0740777e+00
3.1200000e+00    1.0757063e+00    1.0758319e+00
3.1300000e+00    1.0774608e+00    1.0775862e+00
3.1400000e+00    1.0792153e+00    1.0793404e+00
3.1500000e+00    1.0809699e+00    1.0810946e+00
3.1600000e+00    1.0826948e+00    1.0828193e+00
