# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.6900000e+00    6.8974072e+03    6.8738037e+03
1.7000000e+00    6.8688708e+03    6.8451810e+03
1.7100000e+00    6.8403343e+03    6.8165582e+03
1.7200000e+00    6.8117978e+03    6.7879355e+03
1.7300000e+00    6.7896019e+03    6.7656655e+03
1.7400000e+00    6.7723042e+03    6.7483035e+03
1.7500000e+00    6.7553559e+03    6.7312925e+03
1.7600000e+00    6.7384941e+03    6.7143682e+03
1.7700000e+00    6.7216586e+03    6.6974703e+03
1.7800000e+00    6.7053716e+03    6.6811232e+03
1.7900000e+00    6.6892390e+03    6.6649310e+03
1.8000000e+00    6.6735980e+03    6.6492324e+03
1.8100000e+00    6.6583208e+03    6.6338990e+03
1.8200000e+00    6.6438371e+03    6.6193624e+03
1.8300000e+00    6.6294509e+03    6.6049237e+03
1.8400000e+00    6.6151674e+03    6.5905881e+03
1.8500000e+00    6.6008839e+03    6.5762525e+03
1.8600000e+00    6.5866004e+03    6.5619169e+03
1.8700000e+00    6.5723168e+03    6.5475813e+03
1.8800000e+00    6.5580333e+03    6.5332457e+03
1.8900000e+00    6.5437498e+03    6.5189101e+03
1.9000000e+00    6.5294663e+03    6.5045745e+03
1.9100000e+00    6.5151828e+03    6.4902389e+03
1.9200000e+00    6.5008992e+03    6.4759033e+03
1.9300000e+00    6.4866157e+03    6.4615677e+03
1.9400000e+00    6.4723322e+03    6.4472321e+03
1.9500000e+00    6.4580487e+03    6.4328965e+03
1.9600000e+00    6.4438538e+03    6.4186499e+03
1.9700000e+00    6.4297537e+03    6.4044985e+03
1.9800000e+00    6.4156535e+03    6.3903471e+03
1.9900000e+00    6.4015534e+03    6.3761957e+03
2.0000000e+00    6.3875232e+03    6.3621146e+03
2.0100000e+00    6.3736221e+03    6.3481632e+03
2.0200000e+00    6.3597211e+03    6.3342118e+03
2.0300000e+00    6.3459847e+03    6.3204258e+03
2.0400000e+00    6.3322980e+03    6.3066897e+03
2.0500000e+00    6.3188221e+03    6.2931654e+03
2.0600000e+00    6.3053462e+03    6.2796412e+03
2.0700000e+00    6.2918704e+03    6.2661169e+03
2.0800000e+00    6.2783945e+03    6.2525926e+03
2.0900000e+00    6.2649187e+03    6.2390684e+03
2.1000000e+00    6.2514428e+03    6.2255441e+03
2.1100000e+00    6.2379669e+03    6.2120198e+03
2.1200000e+00    6.2244911e+03    6.1984956e+03
2.1300000e+00    6.2110152e+03    6.1849713e+03
2.1400000e+00    6.1975394e+03    6.1714470e+03
2.1500000e+00    6.1840635e+03    6.1579228e+03
2.1600000e+00    6.1705877e+03    6.1443985e+03
2.1700000e+00    6.1571118e+03    6.1308742e+03
2.1800000e+00    6.1436359e+03    6.1173500e+03
2.1900000e+00    6.1304192e+03    6.1040861e+03
2.2000000e+00    6.1172435e+03    6.0908635e+03
2.2100000e+00    6.1040679e+03    6.0776410e+03
2.2200000e+00    6.0908922e+03    6.0644184e+03
2.2300000e+00    6.0777939e+03    6.0512736e+03
2.2400000e+00    6.0649442e+03    6.0383786e+03
2.2500000e+00    6.0520945e+03    6.0254836e+03
2.2600000e+00    6.0393659e+03    6.0127104e+03
2.2700000e+00    6.0268669e+03    6.0001678e+03
2.2800000e+00    6.0144943e+03    5.9877524e+03
2.2900000e+00    6.0023405e+03    5.9755568e+03
2.3000000e+00    5.9901867e+03    5.9633612e+03
2.3100000e+00    5.9780329e+03    5.9511657e+03
2.3200000e+00    5.9658791e+03    5.9389701e+03
2.3300000e+00    5.9537253e+03    5.9267746e+03
2.3400000e+00    5.9415716e+03    5.9145790e+03
2.3500000e+00    5.9294178e+03    5.9023835e+03
2.3600000e+00    5.9172640e+03    5.8901879e+03
2.3700000e+00    5.9051102e+03    5.8779924e+03
2.3800000e+00    5.8929564e+03    5.8657968e+03
2.3900000e+00    5.8808026e+03    5.8536013e+03
2.4000000e+00    5.8686488e+03    5.8414057e+03
2.4100000e+00    5.8564951e+03    5.8292101e+03
2.4200000e+00    5.8443413e+03    5.8170146e+03
2.4300000e+00    5.8321875e+03    5.8048190e+03
2.4400000e+00    5.8200337e+03    5.7926235e+03
2.4500000e+00    5.8078799e+03    5.7804279e+03
2.4600000e+00    5.7957261e+03    5.7682324e+03
2.4700000e+00    5.7835723e+03    5.7560368e+03
2.4800000e+00    5.7714186e+03    5.7438413e+03
2.4900000e+00    5.7592648e+03    5.7316457e+03
2.5000000e+00    5.7471110e+03    5.7194502e+03
2.5100000e+00    5.7349572e+03    5.7072546e+03
2.5200000e+00    5.7228034e+03    5.6950590e+03
2.5300000e+00    5.7106496e+03    5.6828635e+03
2.5400000e+00    5.6984958e+03    5.6706679e+03
2.5500000e+00    5.6863420e+03    5.6584724e+03
2.5600000e+00    5.6741883e+03    5.6462768e+03
2.5700000e+00    5.6620345e+03    5.6340813e+03
2.5800000e+00    5.6498807e+03    5.6218857e+03
2.5900000e+00    5.6377269e+03    5.6096902e+03
2.6000000e+00    5.6255731e+03    5.5974946e+03
2.6100000e+00    5.6134193e+03    5.5852990e+03
2.6200000e+00    5.6012655e+03    5.5731035e+03
2.6300000e+00    5.5891118e+03    5.5609079e+03
2.6400000e+00    5.5769580e+03    5.5487124e+03
2.6500000e+00    5.5648042e+03    5.5365168e+03
2.6600000e+00    5.5526504e+03    5.5243213e+03
2.6700000e+00    5.5404966e+03    5.5121257e+03
2.6800000e+00    5.5283428e+03    5.4999302e+03
2.6900000e+00    5.5161890e+03    5.4877346e+03
2.7000000e+00    5.5040352e+03    5.4755391e+03
2.7100000e+00    5.4918815e+03    5.4633435e+03
2.7200000e+00    5.4797277e+03    5.4511479e+03
2.7300000e+00    5.4675739e+03    5.4389524e+03
2.7400000e+00    5.4554201e+03    5.4267568e+03
2.7500000e+00    5.4432663e+03    5.4145613e+03
2.7600000e+00    5.4311125e+03    5.4023657e+03
2.7700000e+00    5.4189587e+03    5.3901702e+03
2.7800000e+00    5.4068050e+03    5.3779746e+03
2.7900000e+00    5.3946512e+03    5.3657791e+03
2.8000000e+00    5.3824974e+03    5.3535835e+03
2.8100000e+00    5.3703436e+03    5.3413880e+03
2.8200000e+00    5.3581898e+03    5.3291924e+03
2.8300000e+00    5.3460360e+03    5.3169968e+03
2.8400000e+00    5.3338822e+03    5.3048013e+03
2.8500000e+00    5.3217284e+03    5.2926057e+03
2.8600000e+00    5.3095747e+03    5.2804102e+03
2.8700000e+00    5.2974209e+03    5.2682146e+03
2.8800000e+00    5.2852671e+03    5.2560191e+03
2.8900000e+00    5.2731133e+03    5.2438235e+03
2.9000000e+00    5.2609595e+03    5.2316280e+03
2.9100000e+00    5.2488057e+03    5.2194324e+03
2.9200000e+00    5.2366519e+03    5.2072368e+03
2.9300000e+00    5.2244982e+03    5.1950413e+03
2.9400000e+00    5.2131769e+03    5.1836796e+03
2.9500000e+00    5.2039417e+03    5.1744071e+03
2.9600000e+00    5.1947434e+03    5.1651717e+03
2.9700000e+00    5.1857373e+03    5.1561286e+03
2.9800000e+00    5.1770489e+03    5.1474037e+03
2.9900000e+00    5.1683605e+03    5.1386789e+03
3.0000000e+00    5.1596721e+03    5.1299540e+03
3.0100000e+00    5.1509837e+03    5.1212291e+03
3.0200000e+00    5.1422953e+03    5.1125042e+03
3.0300000e+00    5.1336069e+03    5.1037794e+03
3.0400000e+00    5.1249184e+03    5.0950545e+03
3.0500000e+00    5.1162300e+03    5.0863296e+03
3.0600000e+00    5.1075416e+03    5.0776047e+03
3.0700000e+00    5.0988532e+03    5.0688798e+03
3.0800000e+00    5.0901648e+03    5.0601550e+03
3.0900000e+00    5.0816015e+03    5.0515559e+03
3.1000000e+00    5.0732080e+03    5.0431276e+03
3.1100000e+00    5.0648145e+03    5.0346994e+03
3.1200000e+00    5.0564210e+03    5.0262711e+03
3.1300000e+00    5.0480275e+03    5.0178429e+03
3.1400000e+00    5.0396340e+03    5.0094146e+03
3.1500000e+00    5.0312405e+03    5.0009863e+03
3.1600000e+00    5.0231066e+03    4.9928192e+03
3.1700000e+00    5.0150332e+03    4.9847129e+03
3.1800000e+00    5.0069598e+03    4.9766066e+03
3.1900000e+00    4.9988864e+03    4.9685003e+03
