time [ns]	Wlong [V/pC]	Wxdip [V/(pC mm)]	Wydip [V/(pC mm)]	Wxquad [V/(pC mm)]	Wyquad [V/(pC mm)]
3.100000000000002059e-02	1.168919133690258150e+03	4.256635663954500437e+00	1.607691027698767261e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000002842e-02	1.166165049421906815e+03	3.743076709735949414e+00	1.446450711438673764e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.300000000000002237e-02	1.153215088428447416e+03	3.242012768309432413e+00	1.285458456338586242e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.400000000000002326e-02	1.130206815101558050e+03	2.753275254979494324e+00	1.124710915525763300e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.500000000000003109e-02	1.106480031977220051e+03	2.267065736013970323e+00	9.653762389967048829e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.600000000000001810e-02	1.066759011719648242e+03	1.860400049390849908e+00	8.572017206285607038e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.700000000000001898e-02	1.026445985452305422e+03	1.457403620147759149e+00	7.514345509785687049e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.800000000000001987e-02	9.802344055311732518e+02	1.111800598850658073e+00	6.844151730508332143e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.900000000000002076e-02	9.281261402884589415e+02	8.235728064672446225e-01	6.561313137034611165e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000777e-02	8.756854408013155080e+02	5.399499920270922626e-01	6.306297227185926335e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.100000000000002948e-02	8.167433189065873194e+02	3.692514893667123155e-01	6.695269799111813747e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.200000000000002343e-02	7.576004634547368823e+02	2.029547362493148432e-01	7.105999812273169347e-01	0.000000000000000000e+00	0.000000000000000000e+00
