# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.2640000e+05    1.0829154e+07    1.7797332e+07
1.2720000e+05    1.0814447e+07    1.7746440e+07
1.2800000e+05    1.0799739e+07    1.7695547e+07
1.2880000e+05    1.0785031e+07    1.7644654e+07
1.2960000e+05    1.0770324e+07    1.7593762e+07
1.3040000e+05    1.0755616e+07    1.7542869e+07
1.3120000e+05    1.0740908e+07    1.7491977e+07
1.3200000e+05    1.0726201e+07    1.7441084e+07
1.3280000e+05    1.0711759e+07    1.7390648e+07
1.3360000e+05    1.0700576e+07    1.7345791e+07
1.3440000e+05    1.0689392e+07    1.7300934e+07
1.3520000e+05    1.0677089e+07    1.7265486e+07
1.3600000e+05    1.0664310e+07    1.7234029e+07
1.3680000e+05    1.0651531e+07    1.7202572e+07
1.3760000e+05    1.0638803e+07    1.7171248e+07
1.3840000e+05    1.0626207e+07    1.7140272e+07
1.3920000e+05    1.0613610e+07    1.7109296e+07
1.4000000e+05    1.0601014e+07    1.7078319e+07
1.4080000e+05    1.0588417e+07    1.7047343e+07
1.4160000e+05    1.0575821e+07    1.7016367e+07
1.4240000e+05    1.0563225e+07    1.6985391e+07
1.4320000e+05    1.0550628e+07    1.6954414e+07
1.4400000e+05    1.0538032e+07    1.6923438e+07
1.4480000e+05    1.0525436e+07    1.6892463e+07
1.4560000e+05    1.0512842e+07    1.6861489e+07
1.4640000e+05    1.0500247e+07    1.6830514e+07
1.4720000e+05    1.0487652e+07    1.6799540e+07
1.4800000e+05    1.0475058e+07    1.6768566e+07
1.4880000e+05    1.0462463e+07    1.6737591e+07
1.4960000e+05    1.0449868e+07    1.6706617e+07
1.5040000e+05    1.0437274e+07    1.6675643e+07
1.5120000e+05    1.0424679e+07    1.6644668e+07
1.5200000e+05    1.0412085e+07    1.6613694e+07
1.5280000e+05    1.0399491e+07    1.6582721e+07
1.5360000e+05    1.0386896e+07    1.6551747e+07
1.5440000e+05    1.0374302e+07    1.6520773e+07
1.5520000e+05    1.0361708e+07    1.6489799e+07
1.5600000e+05    1.0349114e+07    1.6458825e+07
1.5680000e+05    1.0336524e+07    1.6427857e+07
1.5760000e+05    1.0323997e+07    1.6396970e+07
1.5840000e+05    1.0311470e+07    1.6366082e+07
1.5920000e+05    1.0298943e+07    1.6335195e+07
1.6000000e+05    1.0286417e+07    1.6304307e+07
1.6080000e+05    1.0273890e+07    1.6273420e+07
1.6160000e+05    1.0261363e+07    1.6242533e+07
1.6240000e+05    1.0248837e+07    1.6211646e+07
1.6320000e+05    1.0236310e+07    1.6180759e+07
1.6400000e+05    1.0223784e+07    1.6149872e+07
1.6480000e+05    1.0211257e+07    1.6118985e+07
1.6560000e+05    1.0198791e+07    1.6088177e+07
1.6640000e+05    1.0186340e+07    1.6057388e+07
1.6720000e+05    1.0173888e+07    1.6026599e+07
1.6800000e+05    1.0161437e+07    1.5995811e+07
1.6880000e+05    1.0148986e+07    1.5965023e+07
1.6960000e+05    1.0136535e+07    1.5934234e+07
1.7040000e+05    1.0124084e+07    1.5903446e+07
1.7120000e+05    1.0111633e+07    1.5872658e+07
1.7200000e+05    1.0099182e+07    1.5841869e+07
1.7280000e+05    1.0086741e+07    1.5811130e+07
1.7360000e+05    1.0074334e+07    1.5780551e+07
1.7440000e+05    1.0061927e+07    1.5749972e+07
1.7520000e+05    1.0049520e+07    1.5719393e+07
1.7600000e+05    1.0037113e+07    1.5688814e+07
1.7680000e+05    1.0024706e+07    1.5658235e+07
1.7760000e+05    1.0012368e+07    1.5627807e+07
1.7840000e+05    1.0000058e+07    1.5597440e+07
1.7920000e+05    9.9877473e+06    1.5567073e+07
1.8000000e+05    9.9754369e+06    1.5536706e+07
1.8080000e+05    9.9631265e+06    1.5506339e+07
1.8160000e+05    9.9508161e+06    1.5475972e+07
1.8240000e+05    9.9387785e+06    1.5445979e+07
1.8320000e+05    9.9269145e+06    1.5416225e+07
1.8400000e+05    9.9150505e+06    1.5386470e+07
