# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.6700000e+03    1.2588730e+07    5.9013172e+07
1.6800000e+03    1.2606778e+07    5.8954089e+07
1.6900000e+03    1.2624827e+07    5.8895005e+07
1.7000000e+03    1.2642876e+07    5.8835922e+07
1.7100000e+03    1.2660925e+07    5.8776839e+07
1.7200000e+03    1.2678974e+07    5.8717755e+07
1.7300000e+03    1.2697023e+07    5.8658672e+07
1.7400000e+03    1.2715072e+07    5.8599589e+07
1.7500000e+03    1.2732887e+07    5.8540720e+07
1.7600000e+03    1.2750633e+07    5.8481916e+07
1.7700000e+03    1.2768374e+07    5.8423116e+07
1.7800000e+03    1.2786053e+07    5.8364395e+07
1.7900000e+03    1.2803570e+07    5.8305875e+07
1.8000000e+03    1.2821088e+07    5.8247354e+07
1.8100000e+03    1.2838606e+07    5.8188834e+07
1.8200000e+03    1.2856123e+07    5.8130314e+07
1.8300000e+03    1.2873641e+07    5.8071793e+07
1.8400000e+03    1.2891158e+07    5.8013273e+07
1.8500000e+03    1.2908676e+07    5.7954752e+07
1.8600000e+03    1.2926194e+07    5.7896232e+07
1.8700000e+03    1.2943711e+07    5.7837712e+07
1.8800000e+03    1.2961229e+07    5.7779191e+07
1.8900000e+03    1.2978747e+07    5.7720671e+07
1.9000000e+03    1.2996264e+07    5.7662150e+07
1.9100000e+03    1.3013782e+07    5.7603630e+07
1.9200000e+03    1.3031300e+07    5.7545109e+07
1.9300000e+03    1.3048817e+07    5.7486589e+07
1.9400000e+03    1.3066329e+07    5.7428098e+07
1.9500000e+03    1.3083746e+07    5.7370110e+07
1.9600000e+03    1.3101163e+07    5.7312123e+07
1.9700000e+03    1.3118579e+07    5.7254144e+07
1.9800000e+03    1.3135996e+07    5.7196215e+07
1.9900000e+03    1.3153414e+07    5.7138583e+07
2.0000000e+03    1.3170832e+07    5.7080951e+07
2.0100000e+03    1.3188251e+07    5.7023319e+07
2.0200000e+03    1.3205669e+07    5.6965687e+07
2.0300000e+03    1.3222978e+07    5.6908513e+07
2.0400000e+03    1.3240265e+07    5.6851430e+07
2.0500000e+03    1.3257550e+07    5.6794355e+07
2.0600000e+03    1.3274836e+07    5.6737281e+07
2.0700000e+03    1.3292110e+07    5.6680485e+07
2.0800000e+03    1.3309381e+07    5.6623781e+07
2.0900000e+03    1.3326652e+07    5.6567077e+07
2.1000000e+03    1.3343903e+07    5.6510387e+07
2.1100000e+03    1.3361093e+07    5.6453738e+07
2.1200000e+03    1.3378283e+07    5.6397089e+07
2.1300000e+03    1.3395471e+07    5.6340441e+07
2.1400000e+03    1.3412660e+07    5.6283793e+07
2.1500000e+03    1.3429781e+07    5.6227205e+07
2.1600000e+03    1.3446902e+07    5.6170618e+07
2.1700000e+03    1.3464022e+07    5.6114030e+07
2.1800000e+03    1.3481143e+07    5.6057443e+07
2.1900000e+03    1.3498168e+07    5.6001139e+07
2.2000000e+03    1.3514351e+07    5.5947315e+07
2.2100000e+03    1.3530535e+07    5.5893492e+07
