# This wake function is calculated with resonator para. from IDDEFIX fitting.
# bunch sigma is 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
6.281256251250249889e+00	1.428098419333180824e-01
6.321264252850570031e+00	1.418965928386467512e-01
6.361272254450890173e+00	1.409708509813285826e-01
6.401280256051210316e+00	1.400330062284975696e-01
6.441288257651531346e+00	1.390834491756549052e-01
6.481296259251849712e+00	1.381225709949276681e-01
6.521304260852169854e+00	1.371507632836921065e-01
6.561312262452490884e+00	1.361684179136225248e-01
6.601320264052811027e+00	1.351759268802264213e-01
6.641328265653130281e+00	1.341736821529272983e-01
6.681336267253450423e+00	1.331620755257545419e-01
6.721344268853770565e+00	1.321414984687017125e-01
6.761352270454090707e+00	1.311123419798103651e-01
6.801360272054411737e+00	1.300749964380418511e-01
6.841368273654730103e+00	1.290298514569922228e-01
6.881376275255050246e+00	1.279772957395106381e-01
6.921384276855371276e+00	1.269177169332776356e-01
6.961392278455691418e+00	1.258515014874015403e-01
7.001400280056011560e+00	1.247790345100876219e-01
7.041408281656330814e+00	1.237006996274375298e-01
7.081416283256650956e+00	1.226168788434340989e-01
7.121424284856971987e+00	1.215279524011643048e-01
7.161432286457291241e+00	1.204342986453372788e-01
7.201440288057611383e+00	1.193362938861481509e-01
7.241448289657932413e+00	1.182343122645418271e-01
7.281456291258251667e+00	1.171287256189274401e-01
7.321464292858570921e+00	1.160199033533957508e-01
7.361472294458891952e+00	1.149082123074887940e-01
7.401480296059212094e+00	1.137940166275724918e-01
7.441488297659531348e+00	1.126776776398592944e-01
7.481496299259852378e+00	1.115595537251307112e-01
7.521504300860171632e+00	1.104400001952061949e-01
7.561512302460491775e+00	1.093193691712030374e-01
7.601520304060812805e+00	1.081980094636355305e-01
7.641528305661132059e+00	1.070762664543957465e-01
7.681536307261452201e+00	1.059544819806596955e-01
7.721544308861772343e+00	1.048329942207627818e-01
7.761552310462092485e+00	1.037121375820846125e-01
7.801560312062413516e+00	1.025922425909850944e-01
7.841568313662732770e+00	1.014736357848313175e-01
7.881576315263052912e+00	1.003566396061530280e-01
7.921584316863373054e+00	9.924157229896615751e-02
7.961592318463693196e+00	9.812874780729964608e-02
8.001600320064012450e+00	9.701847567596198763e-02
8.041608321664332593e+00	9.591106095358230277e-02
8.081616323264652735e+00	9.480680409795877450e-02
8.121624324864972877e+00	9.370600088374765602e-02
8.161632326465293019e+00	9.260894231252420061e-02
8.201640328065613161e+00	9.151591452524590609e-02
8.241648329665933304e+00	9.042719871714670343e-02
8.281656331266253446e+00	8.934307105509113611e-02
8.321664332866573588e+00	8.826380259741513357e-02
8.361672334466891954e+00	8.718965921627881699e-02
8.401680336067213872e+00	8.612090152255727493e-02
8.441688337667534014e+00	8.505778479329141606e-02
8.481696339267854157e+00	8.400055890172263007e-02
8.521704340868174299e+00	8.294946824993167100e-02
8.561712342468494441e+00	8.190475170410226047e-02
8.601720344068812807e+00	8.086664253242843714e-02
8.641728345669132949e+00	7.983536834568315255e-02
8.681736347269453091e+00	7.881115104046479414e-02
8.721744348869775010e+00	7.779420674513680412e-02
8.761752350470093376e+00	7.678474576847535427e-02
8.801760352070415294e+00	7.578297255103691454e-02
8.841768353670733660e+00	7.478908561925860787e-02
8.881776355271055579e+00	7.380327754230088522e-02
8.921784356871373944e+00	7.282573489164333169e-02
8.961792358471692310e+00	7.185663820344015407e-02
9.001800360072014229e+00	7.089616194364348201e-02
9.041808361672334371e+00	6.994447447590008970e-02
9.081816363272654513e+00	6.900173803222577062e-02
9.121824364872974655e+00	6.806810868646089030e-02
9.161832366473294798e+00	6.714373633050974011e-02
9.201840368073614940e+00	6.622876465336378915e-02
9.241848369673935082e+00	6.532333112290961141e-02
9.281856371274255224e+00	6.442756697051930936e-02
9.321864372874573590e+00	6.354159717842138011e-02
9.361872374474893732e+00	6.266554046984783299e-02
9.401880376075215651e+00	6.179950930195302755e-02
9.441888377675534016e+00	6.094360986149783416e-02
9.481896379275855935e+00	6.009794206329157479e-02
9.521904380876176077e+00	5.926259955138423602e-02
9.561912382476496219e+00	5.843766970299817121e-02
9.601920384076814585e+00	5.762323363518934843e-02
9.641928385677134727e+00	5.681936621422582767e-02
9.681936387277456646e+00	5.602613606767063020e-02
9.721944388877775012e+00	5.524360559915513641e-02
9.761952390478095154e+00	5.447183100582675408e-02
