# This wake function is calculated with resonator para. from IDDEFIX fitting.
# bunch sigma is 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
5.201040208041608714e+00	1.571314550285675959e-01
5.241048209641928857e+00	1.567439109938471853e-01
5.281056211242248111e+00	1.563346208933480419e-01
5.321064212842568253e+00	1.559038587674399234e-01
5.361072214442888395e+00	1.554519029938608021e-01
5.401080216043208537e+00	1.549790361658139326e-01
5.441088217643529568e+00	1.544855449690071825e-01
5.481096219243847933e+00	1.539717200576910805e-01
5.521104220844168964e+00	1.534378559297476241e-01
5.561112222444489106e+00	1.528842508008888268e-01
5.601120224044809248e+00	1.523112064780187680e-01
5.641128225645129390e+00	1.517190282318149064e-01
5.681136227245448644e+00	1.511080246685859441e-01
5.721144228845768787e+00	1.504785076014613088e-01
5.761152230446089817e+00	1.498307919209688477e-01
5.801160232046409959e+00	1.491651954650572154e-01
5.841168233646728325e+00	1.484820388886191056e-01
5.881176235247049355e+00	1.477816455325710043e-01
5.921184236847369498e+00	1.470643412925485283e-01
5.961192238447689640e+00	1.463304544872689184e-01
6.001200240048009782e+00	1.455803157266220005e-01
6.041208241648329924e+00	1.448142577795424601e-01
6.081216243248649178e+00	1.440326154417206350e-01
6.121224244848970208e+00	1.432357254032079474e-01
6.161232246449289462e+00	1.424239261159717940e-01
6.201240248049609605e+00	1.415975576614566245e-01
6.241248249649930635e+00	1.407569616182061667e-01
6.281256251250249889e+00	1.399024809296003646e-01
6.321264252850570031e+00	1.390344597717654285e-01
6.361272254450890173e+00	1.381532434217072891e-01
6.401280256051210316e+00	1.372591781257254673e-01
6.441288257651531346e+00	1.363526109681615084e-01
6.481296259251849712e+00	1.354338897405327757e-01
6.521304260852169854e+00	1.345033628111075852e-01
6.561312262452490884e+00	1.335613789949733066e-01
6.601320264052811027e+00	1.326082874246492793e-01
6.641328265653130281e+00	1.316444374212973611e-01
6.681336267253450423e+00	1.306701783665807637e-01
6.721344268853770565e+00	1.296858595752223287e-01
6.761352270454090707e+00	1.286918301683123433e-01
6.801360272054411737e+00	1.276884389474164105e-01
6.841368273654730103e+00	1.266760342695319175e-01
6.881376275255050246e+00	1.256549639229416204e-01
6.921384276855371276e+00	1.246255750040132088e-01
6.961392278455691418e+00	1.235882137949922688e-01
7.001400280056011560e+00	1.225432256428337641e-01
7.041408281656330814e+00	1.214909548391206878e-01
7.081416283256650956e+00	1.204317445011137133e-01
7.121424284856971987e+00	1.193659364539766260e-01
7.161432286457291241e+00	1.182938711142224320e-01
7.201440288057611383e+00	1.172158873744225949e-01
7.241448289657932413e+00	1.161323224892223949e-01
7.281456291258251667e+00	1.150435119627046254e-01
7.321464292858570921e+00	1.139497894371409858e-01
7.361472294458891952e+00	1.128514865831735658e-01
7.401480296059212094e+00	1.117489329914640173e-01
7.441488297659531348e+00	1.106424560658503253e-01
7.481496299259852378e+00	1.095323809180475949e-01
7.521504300860171632e+00	1.084190302639305437e-01
7.561512302460491775e+00	1.073027243214336873e-01
7.601520304060812805e+00	1.061837807101039949e-01
7.641528305661132059e+00	1.050625143523401250e-01
