# Frequency [GHz]	Re(Z) [Ohm]	Im(Z) [Ohm]	|Z| [Ohm]
4.237638e+00	1.253159e-04	2.955468e-03	2.958123e-03
4.242635e+00	1.180403e-04	2.954314e-03	2.956671e-03
4.247632e+00	1.107385e-04	2.953018e-03	2.955093e-03
4.252629e+00	1.034138e-04	2.951578e-03	2.953389e-03
4.257626e+00	9.606902e-05	2.949994e-03	2.951558e-03
4.262624e+00	8.870735e-05	2.948267e-03	2.949602e-03
4.267621e+00	8.133183e-05	2.946396e-03	2.947519e-03
4.272618e+00	7.394551e-05	2.944382e-03	2.945310e-03
4.277615e+00	6.655146e-05	2.942223e-03	2.942976e-03
4.282612e+00	5.915272e-05	2.939921e-03	2.940516e-03
4.287610e+00	5.175233e-05	2.937475e-03	2.937931e-03
4.292607e+00	4.435332e-05	2.934886e-03	2.935221e-03
4.297604e+00	3.695871e-05	2.932154e-03	2.932387e-03
4.302601e+00	2.957151e-05	2.929279e-03	2.929428e-03
4.307599e+00	2.219472e-05	2.926261e-03	2.926346e-03
4.312596e+00	1.483132e-05	2.923102e-03	2.923140e-03
4.317593e+00	7.484280e-06	2.919802e-03	2.919811e-03
4.322590e+00	1.565532e-07	2.916360e-03	2.916360e-03
4.327587e+00	-7.148926e-06	2.912779e-03	2.912788e-03
4.332585e+00	-1.442924e-05	2.909058e-03	2.909094e-03
4.337582e+00	-2.168149e-05	2.905198e-03	2.905279e-03
4.342579e+00	-2.890280e-05	2.901201e-03	2.901345e-03
4.347576e+00	-3.609031e-05	2.897066e-03	2.897291e-03
4.352573e+00	-4.324118e-05	2.892795e-03	2.893118e-03
4.357571e+00	-5.035262e-05	2.888389e-03	2.888828e-03
4.362568e+00	-5.742183e-05	2.883849e-03	2.884420e-03
4.367565e+00	-6.444605e-05	2.879175e-03	2.879896e-03
4.372562e+00	-7.142255e-05	2.874370e-03	2.875257e-03
4.377560e+00	-7.834862e-05	2.869434e-03	2.870503e-03
4.382557e+00	-8.522159e-05	2.864368e-03	2.865636e-03
4.387554e+00	-9.203881e-05	2.859174e-03	2.860655e-03
4.392551e+00	-9.879766e-05	2.853853e-03	2.855563e-03
4.397548e+00	-1.054956e-04	2.848407e-03	2.850360e-03
4.402546e+00	-1.121300e-04	2.842836e-03	2.845047e-03
4.407543e+00	-1.186983e-04	2.837143e-03	2.839625e-03
4.412540e+00	-1.251982e-04	2.831329e-03	2.834096e-03
4.417537e+00	-1.316271e-04	2.825395e-03	2.828459e-03
4.422534e+00	-1.379826e-04	2.819343e-03	2.822718e-03
4.427532e+00	-1.442624e-04	2.813175e-03	2.816872e-03
4.432529e+00	-1.504642e-04	2.806893e-03	2.810923e-03
4.437526e+00	-1.565855e-04	2.800498e-03	2.804872e-03
4.442523e+00	-1.626242e-04	2.793992e-03	2.798720e-03
4.447521e+00	-1.685780e-04	2.787376e-03	2.792469e-03
4.452518e+00	-1.744448e-04	2.780654e-03	2.786120e-03
4.457515e+00	-1.802224e-04	2.773826e-03	2.779675e-03
4.462512e+00	-1.859087e-04	2.766895e-03	2.773134e-03
4.467509e+00	-1.915018e-04	2.759863e-03	2.766499e-03
4.472507e+00	-1.969995e-04	2.752731e-03	2.759771e-03
4.477504e+00	-2.023999e-04	2.745502e-03	2.752953e-03
4.482501e+00	-2.077011e-04	2.738178e-03	2.746044e-03
4.487498e+00	-2.129012e-04	2.730761e-03	2.739048e-03
4.492495e+00	-2.179984e-04	2.723254e-03	2.731965e-03
4.497493e+00	-2.229909e-04	2.715658e-03	2.724797e-03
4.502490e+00	-2.278771e-04	2.707975e-03	2.717546e-03
4.507487e+00	-2.326551e-04	2.700209e-03	2.710213e-03
4.512484e+00	-2.373234e-04	2.692360e-03	2.702800e-03
4.517482e+00	-2.418804e-04	2.684433e-03	2.695308e-03
4.522479e+00	-2.463246e-04	2.676428e-03	2.687740e-03
4.527476e+00	-2.506545e-04	2.668349e-03	2.680096e-03
4.532473e+00	-2.548686e-04	2.660198e-03	2.672379e-03
4.537470e+00	-2.589655e-04	2.651977e-03	2.664591e-03
4.542468e+00	-2.629440e-04	2.643689e-03	2.656733e-03
4.547465e+00	-2.668028e-04	2.635336e-03	2.648807e-03
4.552462e+00	-2.705406e-04	2.626920e-03	2.640815e-03
4.557459e+00	-2.741563e-04	2.618445e-03	2.632758e-03
4.562456e+00	-2.776487e-04	2.609913e-03	2.624640e-03
4.567454e+00	-2.810168e-04	2.601326e-03	2.616461e-03
4.572451e+00	-2.842595e-04	2.592687e-03	2.608224e-03
4.577448e+00	-2.873760e-04	2.583999e-03	2.599930e-03
4.582445e+00	-2.903652e-04	2.575264e-03	2.591582e-03
4.587443e+00	-2.932265e-04	2.566484e-03	2.583181e-03
4.592440e+00	-2.959589e-04	2.557664e-03	2.574730e-03
4.597437e+00	-2.985617e-04	2.548804e-03	2.566231e-03
4.602434e+00	-3.010342e-04	2.539908e-03	2.557685e-03
4.607431e+00	-3.033758e-04	2.530979e-03	2.549096e-03
4.612429e+00	-3.055860e-04	2.522018e-03	2.540464e-03
4.617426e+00	-3.076642e-04	2.513030e-03	2.531793e-03
4.622423e+00	-3.096099e-04	2.504016e-03	2.523084e-03
4.627420e+00	-3.114228e-04	2.494979e-03	2.514340e-03
4.632417e+00	-3.131024e-04	2.485923e-03	2.505563e-03
4.637415e+00	-3.146486e-04	2.476849e-03	2.496754e-03
4.642412e+00	-3.160609e-04	2.467760e-03	2.487918e-03
4.647409e+00	-3.173393e-04	2.458660e-03	2.479054e-03
4.652406e+00	-3.184836e-04	2.449550e-03	2.470167e-03
4.657404e+00	-3.194938e-04	2.440434e-03	2.461258e-03
4.662401e+00	-3.203697e-04	2.431314e-03	2.452330e-03
4.667398e+00	-3.211115e-04	2.422193e-03	2.443385e-03
4.672395e+00	-3.217192e-04	2.413073e-03	2.434425e-03
4.677392e+00	-3.221930e-04	2.403958e-03	2.425453e-03
4.682390e+00	-3.225331e-04	2.394850e-03	2.416471e-03
4.687387e+00	-3.227396e-04	2.385751e-03	2.407482e-03
4.692384e+00	-3.228130e-04	2.376665e-03	2.398488e-03
4.697381e+00	-3.227535e-04	2.367594e-03	2.389492e-03
4.702378e+00	-3.225617e-04	2.358541e-03	2.380496e-03
4.707376e+00	-3.222378e-04	2.349508e-03	2.371503e-03
4.712373e+00	-3.217825e-04	2.340498e-03	2.362514e-03
4.717370e+00	-3.211963e-04	2.331513e-03	2.353533e-03
4.722367e+00	-3.204798e-04	2.322556e-03	2.344563e-03
4.727365e+00	-3.196338e-04	2.313631e-03	2.335605e-03
4.732362e+00	-3.186588e-04	2.304738e-03	2.326663e-03
4.737359e+00	-3.175558e-04	2.295881e-03	2.317739e-03
4.742356e+00	-3.163254e-04	2.287063e-03	2.308835e-03
4.747353e+00	-3.149687e-04	2.278285e-03	2.299954e-03
4.752351e+00	-3.134865e-04	2.269550e-03	2.291099e-03
4.757348e+00	-3.118797e-04	2.260862e-03	2.282272e-03
4.762345e+00	-3.101494e-04	2.252221e-03	2.273476e-03
4.767342e+00	-3.082967e-04	2.243631e-03	2.264714e-03
4.772339e+00	-3.063226e-04	2.235094e-03	2.255988e-03
4.777337e+00	-3.042284e-04	2.226613e-03	2.247301e-03
4.782334e+00	-3.020152e-04	2.218189e-03	2.238655e-03
4.787331e+00	-2.996843e-04	2.209825e-03	2.230053e-03
4.792328e+00	-2.972369e-04	2.201523e-03	2.221498e-03
4.797325e+00	-2.946745e-04	2.193286e-03	2.212992e-03
4.802323e+00	-2.919984e-04	2.185115e-03	2.204539e-03
4.807320e+00	-2.892099e-04	2.177013e-03	2.196140e-03
4.812317e+00	-2.863107e-04	2.168983e-03	2.187798e-03
4.817314e+00	-2.833021e-04	2.161025e-03	2.179516e-03
4.822312e+00	-2.801858e-04	2.153143e-03	2.171296e-03
4.827309e+00	-2.769633e-04	2.145338e-03	2.163142e-03
4.832306e+00	-2.736363e-04	2.137612e-03	2.155055e-03
4.837303e+00	-2.702064e-04	2.129968e-03	2.147038e-03
4.842300e+00	-2.666753e-04	2.122406e-03	2.139094e-03
4.847298e+00	-2.630448e-04	2.114930e-03	2.131226e-03
4.852295e+00	-2.593167e-04	2.107541e-03	2.123435e-03
4.857292e+00	-2.554927e-04	2.100241e-03	2.115724e-03
4.862289e+00	-2.515746e-04	2.093031e-03	2.108096e-03
4.867286e+00	-2.475645e-04	2.085914e-03	2.100554e-03
4.872284e+00	-2.434642e-04	2.078891e-03	2.093099e-03
4.877281e+00	-2.392756e-04	2.071963e-03	2.085734e-03
4.882278e+00	-2.350007e-04	2.065133e-03	2.078461e-03
4.887275e+00	-2.306415e-04	2.058402e-03	2.071283e-03
4.892273e+00	-2.262001e-04	2.051771e-03	2.064203e-03
4.897270e+00	-2.216785e-04	2.045243e-03	2.057221e-03
4.902267e+00	-2.170788e-04	2.038818e-03	2.050342e-03
4.907264e+00	-2.124031e-04	2.032497e-03	2.043566e-03
4.912261e+00	-2.076535e-04	2.026283e-03	2.036896e-03
4.917259e+00	-2.028324e-04	2.020177e-03	2.030334e-03
4.922256e+00	-1.979417e-04	2.014179e-03	2.023882e-03
4.927253e+00	-1.929837e-04	2.008291e-03	2.017542e-03
4.932250e+00	-1.879608e-04	2.002515e-03	2.011317e-03
4.937247e+00	-1.828750e-04	1.996851e-03	2.005208e-03
4.942245e+00	-1.777288e-04	1.991301e-03	1.999216e-03
4.947242e+00	-1.725243e-04	1.985865e-03	1.993345e-03
4.952239e+00	-1.672640e-04	1.980544e-03	1.987595e-03
4.957236e+00	-1.619501e-04	1.975340e-03	1.981968e-03
4.962234e+00	-1.565849e-04	1.970254e-03	1.976466e-03
4.967231e+00	-1.511709e-04	1.965285e-03	1.971091e-03
4.972228e+00	-1.457104e-04	1.960436e-03	1.965843e-03
4.977225e+00	-1.402059e-04	1.955706e-03	1.960726e-03
4.982222e+00	-1.346596e-04	1.951097e-03	1.955738e-03
4.987220e+00	-1.290740e-04	1.946609e-03	1.950884e-03
4.992217e+00	-1.234516e-04	1.942243e-03	1.946162e-03
4.997214e+00	-1.177947e-04	1.937999e-03	1.941575e-03
