# Frequency [GHz]	Re(Z) [Ohm]	Im(Z) [Ohm]	|Z| [Ohm]
1.549136e+00	-2.075889e-03	7.958158e-03	8.224451e-03
1.554134e+00	-2.069632e-03	7.887053e-03	8.154078e-03
1.559131e+00	-2.062619e-03	7.816578e-03	8.084138e-03
1.564128e+00	-2.054863e-03	7.746739e-03	8.014638e-03
1.569125e+00	-2.046376e-03	7.677543e-03	7.945585e-03
1.574122e+00	-2.037170e-03	7.608998e-03	7.876986e-03
1.579120e+00	-2.027257e-03	7.541110e-03	7.808849e-03
1.584117e+00	-2.016650e-03	7.473886e-03	7.741179e-03
1.589114e+00	-2.005363e-03	7.407331e-03	7.673985e-03
1.594111e+00	-1.993406e-03	7.341453e-03	7.607273e-03
1.599108e+00	-1.980793e-03	7.276256e-03	7.541051e-03
1.604106e+00	-1.967537e-03	7.211747e-03	7.475326e-03
1.609103e+00	-1.953650e-03	7.147930e-03	7.410105e-03
1.614100e+00	-1.939145e-03	7.084812e-03	7.345397e-03
1.619097e+00	-1.924035e-03	7.022397e-03	7.281207e-03
1.624095e+00	-1.908333e-03	6.960691e-03	7.217545e-03
1.629092e+00	-1.892051e-03	6.899697e-03	7.154416e-03
1.634089e+00	-1.875203e-03	6.839420e-03	7.091830e-03
1.639086e+00	-1.857801e-03	6.779864e-03	7.029792e-03
1.644083e+00	-1.839858e-03	6.721034e-03	6.968312e-03
1.649081e+00	-1.821388e-03	6.662933e-03	6.907397e-03
1.654078e+00	-1.802402e-03	6.605565e-03	6.847054e-03
1.659075e+00	-1.782915e-03	6.548934e-03	6.787291e-03
1.664072e+00	-1.762939e-03	6.493041e-03	6.728116e-03
1.669069e+00	-1.742486e-03	6.437892e-03	6.669536e-03
1.674067e+00	-1.721571e-03	6.383487e-03	6.611559e-03
1.679064e+00	-1.700206e-03	6.329831e-03	6.554194e-03
1.684061e+00	-1.678404e-03	6.276925e-03	6.497447e-03
1.689058e+00	-1.656177e-03	6.224771e-03	6.441327e-03
1.694056e+00	-1.633540e-03	6.173372e-03	6.385841e-03
1.699053e+00	-1.610504e-03	6.122729e-03	6.330997e-03
1.704050e+00	-1.587083e-03	6.072843e-03	6.276803e-03
1.709047e+00	-1.563289e-03	6.023718e-03	6.223267e-03
1.714044e+00	-1.539136e-03	5.975352e-03	6.170395e-03
1.719042e+00	-1.514636e-03	5.927748e-03	6.118196e-03
1.724039e+00	-1.489802e-03	5.880907e-03	6.066677e-03
1.729036e+00	-1.464646e-03	5.834828e-03	6.015847e-03
1.734033e+00	-1.439183e-03	5.789513e-03	5.965711e-03
1.739030e+00	-1.413423e-03	5.744961e-03	5.916278e-03
1.744028e+00	-1.387380e-03	5.701173e-03	5.867554e-03
1.749025e+00	-1.361067e-03	5.658148e-03	5.819548e-03
1.754022e+00	-1.334496e-03	5.615886e-03	5.772266e-03
1.759019e+00	-1.307679e-03	5.574387e-03	5.725715e-03
1.764017e+00	-1.280629e-03	5.533650e-03	5.679902e-03
1.769014e+00	-1.253359e-03	5.493673e-03	5.634834e-03
1.774011e+00	-1.225880e-03	5.454456e-03	5.590517e-03
1.779008e+00	-1.198205e-03	5.415998e-03	5.546957e-03
1.784005e+00	-1.170346e-03	5.378297e-03	5.504161e-03
1.789003e+00	-1.142316e-03	5.341352e-03	5.462135e-03
1.794000e+00	-1.114125e-03	5.305160e-03	5.420885e-03
1.798997e+00	-1.085788e-03	5.269719e-03	5.380416e-03
1.803994e+00	-1.057314e-03	5.235029e-03	5.340734e-03
1.808991e+00	-1.028717e-03	5.201085e-03	5.301843e-03
1.813989e+00	-1.000007e-03	5.167886e-03	5.263749e-03
1.818986e+00	-9.711969e-04	5.135429e-03	5.226457e-03
1.823983e+00	-9.422981e-04	5.103710e-03	5.189970e-03
1.828980e+00	-9.133219e-04	5.072728e-03	5.154292e-03
1.833978e+00	-8.842797e-04	5.042479e-03	5.119428e-03
1.838975e+00	-8.551830e-04	5.012959e-03	5.085381e-03
1.843972e+00	-8.260429e-04	4.984166e-03	5.052154e-03
1.848969e+00	-7.968705e-04	4.956094e-03	5.019749e-03
1.853966e+00	-7.676770e-04	4.928742e-03	4.988168e-03
1.858964e+00	-7.384732e-04	4.902103e-03	4.957415e-03
1.863961e+00	-7.092700e-04	4.876175e-03	4.927489e-03
1.868958e+00	-6.800780e-04	4.850954e-03	4.898393e-03
1.873955e+00	-6.509080e-04	4.826434e-03	4.870128e-03
1.878952e+00	-6.217703e-04	4.802610e-03	4.842692e-03
1.883950e+00	-5.926755e-04	4.779480e-03	4.816087e-03
1.888947e+00	-5.636338e-04	4.757037e-03	4.790311e-03
1.893944e+00	-5.346553e-04	4.735276e-03	4.765364e-03
1.898941e+00	-5.057501e-04	4.714192e-03	4.741244e-03
1.903939e+00	-4.769282e-04	4.693781e-03	4.717949e-03
1.908936e+00	-4.481993e-04	4.674036e-03	4.695476e-03
1.913933e+00	-4.195731e-04	4.654952e-03	4.673823e-03
1.918930e+00	-3.910592e-04	4.636524e-03	4.652986e-03
1.923927e+00	-3.626670e-04	4.618745e-03	4.632961e-03
1.928925e+00	-3.344058e-04	4.601609e-03	4.613744e-03
1.933922e+00	-3.062849e-04	4.585111e-03	4.595330e-03
1.938919e+00	-2.783131e-04	4.569245e-03	4.577713e-03
1.943916e+00	-2.504994e-04	4.554003e-03	4.560888e-03
1.948913e+00	-2.228527e-04	4.539380e-03	4.544847e-03
1.953911e+00	-1.953815e-04	4.525370e-03	4.529586e-03
1.958908e+00	-1.680944e-04	4.511964e-03	4.515095e-03
1.963905e+00	-1.409996e-04	4.499158e-03	4.501367e-03
1.968902e+00	-1.141055e-04	4.486943e-03	4.488394e-03
1.973900e+00	-8.742009e-05	4.475314e-03	4.476167e-03
1.978897e+00	-6.095130e-05	4.464262e-03	4.464678e-03
1.983894e+00	-3.470694e-05	4.453781e-03	4.453916e-03
1.988891e+00	-8.694640e-06	4.443863e-03	4.443871e-03
1.993888e+00	1.707809e-05	4.434501e-03	4.434534e-03
1.998886e+00	4.260390e-05	4.425689e-03	4.425894e-03
2.003883e+00	6.787558e-05	4.417417e-03	4.417938e-03
2.008880e+00	9.288609e-05	4.409679e-03	4.410657e-03
2.013877e+00	1.176285e-04	4.402467e-03	4.404038e-03
2.018874e+00	1.420961e-04	4.395773e-03	4.398069e-03
2.023872e+00	1.662823e-04	4.389589e-03	4.392738e-03
2.028869e+00	1.901806e-04	4.383908e-03	4.388031e-03
2.033866e+00	2.137847e-04	4.378721e-03	4.383937e-03
2.038863e+00	2.370886e-04	4.374021e-03	4.380442e-03
2.043861e+00	2.600861e-04	4.369798e-03	4.377532e-03
2.048858e+00	2.827715e-04	4.366046e-03	4.375194e-03
2.053855e+00	3.051392e-04	4.362756e-03	4.373414e-03
2.058852e+00	3.271835e-04	4.359919e-03	4.372178e-03
2.063849e+00	3.488992e-04	4.357528e-03	4.371473e-03
2.068847e+00	3.702811e-04	4.355573e-03	4.371284e-03
2.073844e+00	3.913240e-04	4.354046e-03	4.371596e-03
2.078841e+00	4.120232e-04	4.352940e-03	4.372396e-03
