# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.440000e+00    5.489489e+04    5.501413e+04
2.450000e+00    5.476818e+04    5.488605e+04
2.460000e+00    5.464147e+04    5.475797e+04
2.470000e+00    5.451475e+04    5.462988e+04
2.480000e+00    5.438804e+04    5.450180e+04
2.490000e+00    5.426133e+04    5.437372e+04
2.500000e+00    5.413461e+04    5.424563e+04
2.510000e+00    5.402968e+04    5.413961e+04
2.520000e+00    5.393256e+04    5.404149e+04
2.530000e+00    5.383543e+04    5.394338e+04
2.540000e+00    5.373831e+04    5.384526e+04
2.550000e+00    5.364176e+04    5.374773e+04
2.560000e+00    5.355197e+04    5.365704e+04
2.570000e+00    5.346218e+04    5.356635e+04
2.580000e+00    5.337238e+04    5.347566e+04
2.590000e+00    5.328259e+04    5.338497e+04
2.600000e+00    5.319280e+04    5.329428e+04
2.610000e+00    5.310300e+04    5.320359e+04
2.620000e+00    5.301321e+04    5.311290e+04
2.630000e+00    5.292341e+04    5.302221e+04
2.640000e+00    5.283362e+04    5.293152e+04
2.650000e+00    5.274383e+04    5.284083e+04
2.660000e+00    5.265403e+04    5.275014e+04
2.670000e+00    5.256424e+04    5.265945e+04
2.680000e+00    5.247445e+04    5.256876e+04
2.690000e+00    5.238465e+04    5.247807e+04
2.700000e+00    5.229486e+04    5.238738e+04
2.710000e+00    5.220507e+04    5.229669e+04
2.720000e+00    5.211527e+04    5.220600e+04
2.730000e+00    5.202548e+04    5.211531e+04
2.740000e+00    5.193569e+04    5.202462e+04
2.750000e+00    5.184589e+04    5.193393e+04
2.760000e+00    5.175610e+04    5.184324e+04
2.770000e+00    5.166631e+04    5.175255e+04
2.780000e+00    5.157651e+04    5.166185e+04
2.790000e+00    5.148672e+04    5.157116e+04
2.800000e+00    5.139693e+04    5.148047e+04
2.810000e+00    5.130713e+04    5.138978e+04
2.820000e+00    5.121734e+04    5.129909e+04
2.830000e+00    5.112755e+04    5.120840e+04
2.840000e+00    5.103775e+04    5.111771e+04
2.850000e+00    5.094796e+04    5.102702e+04
2.860000e+00    5.085817e+04    5.093633e+04
2.870000e+00    5.076837e+04    5.084564e+04
2.880000e+00    5.067858e+04    5.075495e+04
2.890000e+00    5.058879e+04    5.066426e+04
2.900000e+00    5.049899e+04    5.057357e+04
2.910000e+00    5.040920e+04    5.048288e+04
2.920000e+00    5.031941e+04    5.039219e+04
2.930000e+00    5.022961e+04    5.030150e+04
2.940000e+00    5.013982e+04    5.021081e+04
2.950000e+00    5.005003e+04    5.012012e+04
2.960000e+00    4.996023e+04    5.002943e+04
2.970000e+00    4.987044e+04    4.993874e+04
2.980000e+00    4.978065e+04    4.984805e+04
2.990000e+00    4.969085e+04    4.975736e+04
3.000000e+00    4.960106e+04    4.966667e+04
3.010000e+00    4.951127e+04    4.957598e+04
3.020000e+00    4.942147e+04    4.948529e+04
3.030000e+00    4.933168e+04    4.939460e+04
3.040000e+00    4.924188e+04    4.930391e+04
3.050000e+00    4.915209e+04    4.921321e+04
3.060000e+00    4.906230e+04    4.912252e+04
3.070000e+00    4.897250e+04    4.903183e+04
3.080000e+00    4.888271e+04    4.894114e+04
3.090000e+00    4.879292e+04    4.885045e+04
3.100000e+00    4.870312e+04    4.875976e+04
3.110000e+00    4.861333e+04    4.866907e+04
3.120000e+00    4.852354e+04    4.857838e+04
3.130000e+00    4.843996e+04    4.849398e+04
3.140000e+00    4.835840e+04    4.841162e+04
3.150000e+00    4.827684e+04    4.832926e+04
3.160000e+00    4.819527e+04    4.824689e+04
3.170000e+00    4.811371e+04    4.816453e+04
3.180000e+00    4.803215e+04    4.808216e+04
3.190000e+00    4.796754e+04    4.801694e+04
3.200000e+00    4.790391e+04    4.795273e+04
3.210000e+00    4.784029e+04    4.788851e+04
3.220000e+00    4.777667e+04    4.782430e+04
3.230000e+00    4.771305e+04    4.776008e+04
3.240000e+00    4.764942e+04    4.769587e+04
3.250000e+00    4.758580e+04    4.763165e+04
3.260000e+00    4.752218e+04    4.756744e+04
3.270000e+00    4.745856e+04    4.750322e+04
3.280000e+00    4.739494e+04    4.743900e+04
3.290000e+00    4.733131e+04    4.737479e+04
3.300000e+00    4.726769e+04    4.731057e+04
3.310000e+00    4.720407e+04    4.724636e+04
3.320000e+00    4.714045e+04    4.718214e+04
3.330000e+00    4.707682e+04    4.711793e+04
3.340000e+00    4.701320e+04    4.705371e+04
3.350000e+00    4.694958e+04    4.698950e+04
3.360000e+00    4.688596e+04    4.692528e+04
3.370000e+00    4.682233e+04    4.686107e+04
3.380000e+00    4.675871e+04    4.679685e+04
3.390000e+00    4.669509e+04    4.673263e+04
3.400000e+00    4.663147e+04    4.666842e+04
3.410000e+00    4.656784e+04    4.660420e+04
3.420000e+00    4.650422e+04    4.653999e+04
3.430000e+00    4.644060e+04    4.647577e+04
3.440000e+00    4.637698e+04    4.641156e+04
3.450000e+00    4.631336e+04    4.634734e+04
3.460000e+00    4.624973e+04    4.628313e+04
3.470000e+00    4.618611e+04    4.621891e+04
3.480000e+00    4.612249e+04    4.615469e+04
3.490000e+00    4.605887e+04    4.609048e+04
3.500000e+00    4.599524e+04    4.602626e+04
3.510000e+00    4.593162e+04    4.596205e+04
3.520000e+00    4.586800e+04    4.589783e+04
3.530000e+00    4.580438e+04    4.583362e+04
3.540000e+00    4.574075e+04    4.576940e+04
3.550000e+00    4.567713e+04    4.570519e+04
3.560000e+00    4.561351e+04    4.564097e+04
3.570000e+00    4.554989e+04    4.557676e+04
3.580000e+00    4.548627e+04    4.551254e+04
3.590000e+00    4.542264e+04    4.544832e+04
3.600000e+00    4.535902e+04    4.538411e+04
3.610000e+00    4.529540e+04    4.531989e+04
3.620000e+00    4.523178e+04    4.525568e+04
3.630000e+00    4.516815e+04    4.519146e+04
3.640000e+00    4.510453e+04    4.512725e+04
3.650000e+00    4.504091e+04    4.506303e+04
3.660000e+00    4.497729e+04    4.499882e+04
3.670000e+00    4.491366e+04    4.493460e+04
3.680000e+00    4.485004e+04    4.487038e+04
3.690000e+00    4.478642e+04    4.480617e+04
3.700000e+00    4.472280e+04    4.474195e+04
3.710000e+00    4.465918e+04    4.467774e+04
3.720000e+00    4.459555e+04    4.461352e+04
3.730000e+00    4.453193e+04    4.454931e+04
3.740000e+00    4.446831e+04    4.448509e+04
3.750000e+00    4.440469e+04    4.442088e+04
3.760000e+00    4.434106e+04    4.435666e+04
3.770000e+00    4.427744e+04    4.429245e+04
3.780000e+00    4.421382e+04    4.422823e+04
3.790000e+00    4.415020e+04    4.416401e+04
3.800000e+00    4.408657e+04    4.409980e+04
3.810000e+00    4.402295e+04    4.403558e+04
3.820000e+00    4.395933e+04    4.397137e+04
3.830000e+00    4.389571e+04    4.390715e+04
3.840000e+00    4.383209e+04    4.384294e+04
3.850000e+00    4.376846e+04    4.377872e+04
3.860000e+00    4.370484e+04    4.371451e+04
3.870000e+00    4.364122e+04    4.365029e+04
3.880000e+00    4.357760e+04    4.358607e+04
3.890000e+00    4.351397e+04    4.352186e+04
3.900000e+00    4.345035e+04    4.345764e+04
3.910000e+00    4.338673e+04    4.339343e+04
3.920000e+00    4.332311e+04    4.332921e+04
3.930000e+00    4.325948e+04    4.326500e+04
3.940000e+00    4.319586e+04    4.320078e+04
3.950000e+00    4.313224e+04    4.313657e+04
3.960000e+00    4.306862e+04    4.307235e+04
3.970000e+00    4.300768e+04    4.301085e+04
3.980000e+00    4.295939e+04    4.296213e+04
3.990000e+00    4.291109e+04    4.291340e+04
4.000000e+00    4.286280e+04    4.286467e+04
4.010000e+00    4.281450e+04    4.281595e+04
4.020000e+00    4.276621e+04    4.276722e+04
4.030000e+00    4.271791e+04    4.271849e+04
4.040000e+00    4.266962e+04    4.266977e+04
4.050000e+00    4.262387e+04    4.262362e+04
4.060000e+00    4.257880e+04    4.257814e+04
4.070000e+00    4.253372e+04    4.253267e+04
4.080000e+00    4.248865e+04    4.248720e+04
4.090000e+00    4.244358e+04    4.244173e+04
4.100000e+00    4.239850e+04    4.239626e+04
4.110000e+00    4.235343e+04    4.235079e+04
4.120000e+00    4.230836e+04    4.230532e+04
4.130000e+00    4.226328e+04    4.225985e+04
4.140000e+00    4.221821e+04    4.221438e+04
4.150000e+00    4.217314e+04    4.216891e+04
4.160000e+00    4.212806e+04    4.212344e+04
4.170000e+00    4.208299e+04    4.207797e+04
4.180000e+00    4.203792e+04    4.203249e+04
4.190000e+00    4.199284e+04    4.198702e+04
4.200000e+00    4.194777e+04    4.194155e+04
4.210000e+00    4.190270e+04    4.189608e+04
4.220000e+00    4.185762e+04    4.185061e+04
4.230000e+00    4.181255e+04    4.180514e+04
4.240000e+00    4.176748e+04    4.175967e+04
4.250000e+00    4.172240e+04    4.171420e+04
4.260000e+00    4.167733e+04    4.166873e+04
4.270000e+00    4.163226e+04    4.162326e+04
4.280000e+00    4.158718e+04    4.157779e+04
4.290000e+00    4.154211e+04    4.153232e+04
4.300000e+00    4.149704e+04    4.148685e+04
4.310000e+00    4.145196e+04    4.144137e+04
4.320000e+00    4.140689e+04    4.139590e+04
4.330000e+00    4.136182e+04    4.135043e+04
4.340000e+00    4.131674e+04    4.130496e+04
4.350000e+00    4.127167e+04    4.125949e+04
4.360000e+00    4.122659e+04    4.121402e+04
4.370000e+00    4.118152e+04    4.116855e+04
4.380000e+00    4.113645e+04    4.112308e+04
4.390000e+00    4.109137e+04    4.107761e+04
4.400000e+00    4.104630e+04    4.103214e+04
4.410000e+00    4.100123e+04    4.098667e+04
4.420000e+00    4.095615e+04    4.094120e+04
4.430000e+00    4.091108e+04    4.089572e+04
4.440000e+00    4.086601e+04    4.085025e+04
4.450000e+00    4.082093e+04    4.080478e+04
4.460000e+00    4.077586e+04    4.075931e+04
4.470000e+00    4.073079e+04    4.071384e+04
4.480000e+00    4.068571e+04    4.066837e+04
4.490000e+00    4.064064e+04    4.062290e+04
4.500000e+00    4.059557e+04    4.057743e+04
4.510000e+00    4.055049e+04    4.053196e+04
4.520000e+00    4.050542e+04    4.048649e+04
4.530000e+00    4.046035e+04    4.044102e+04
4.540000e+00    4.041527e+04    4.039555e+04
4.550000e+00    4.037020e+04    4.035008e+04
4.560000e+00    4.032513e+04    4.030460e+04
4.570000e+00    4.028005e+04    4.025913e+04
4.580000e+00    4.023498e+04    4.021366e+04
4.590000e+00    4.018991e+04    4.016819e+04
4.600000e+00    4.014483e+04    4.012272e+04
4.610000e+00    4.009976e+04    4.007725e+04
4.620000e+00    4.005469e+04    4.003178e+04
4.630000e+00    4.000961e+04    3.998631e+04
4.640000e+00    3.996454e+04    3.994084e+04
4.650000e+00    3.991947e+04    3.989537e+04
4.660000e+00    3.987439e+04    3.984990e+04
4.670000e+00    3.982932e+04    3.980443e+04
4.680000e+00    3.978425e+04    3.975896e+04
4.690000e+00    3.973917e+04    3.971348e+04
4.700000e+00    3.969410e+04    3.966801e+04
4.710000e+00    3.964903e+04    3.962254e+04
4.720000e+00    3.960395e+04    3.957707e+04
4.730000e+00    3.955888e+04    3.953160e+04
4.740000e+00    3.951380e+04    3.948613e+04
4.750000e+00    3.946873e+04    3.944066e+04
4.760000e+00    3.942366e+04    3.939519e+04
4.770000e+00    3.937858e+04    3.934972e+04
4.780000e+00    3.933351e+04    3.930425e+04
4.790000e+00    3.928844e+04    3.925878e+04
4.800000e+00    3.924336e+04    3.921331e+04
4.810000e+00    3.919829e+04    3.916783e+04
4.820000e+00    3.915322e+04    3.912236e+04
4.830000e+00    3.910814e+04    3.907689e+04
4.840000e+00    3.906307e+04    3.903142e+04
4.850000e+00    3.901800e+04    3.898595e+04
4.860000e+00    3.897292e+04    3.894048e+04
4.870000e+00    3.892785e+04    3.889501e+04
4.880000e+00    3.888278e+04    3.884954e+04
4.890000e+00    3.883770e+04    3.880407e+04
4.900000e+00    3.879263e+04    3.875860e+04
4.910000e+00    3.874756e+04    3.871313e+04
4.920000e+00    3.870248e+04    3.866766e+04
4.930000e+00    3.865741e+04    3.862219e+04
4.940000e+00    3.861234e+04    3.857671e+04
4.950000e+00    3.856726e+04    3.853124e+04
4.960000e+00    3.852620e+04    3.848982e+04
4.970000e+00    3.848559e+04    3.844886e+04
4.980000e+00    3.844498e+04    3.840789e+04
4.990000e+00    3.840437e+04    3.836693e+04
5.000000e+00    3.836376e+04    3.832596e+04
5.010000e+00    3.832315e+04    3.828500e+04
5.020000e+00    3.828254e+04    3.824403e+04
5.030000e+00    3.824193e+04    3.820307e+04
5.040000e+00    3.820132e+04    3.816211e+04
5.050000e+00    3.816665e+04    3.812714e+04
5.060000e+00    3.813472e+04    3.809494e+04
5.070000e+00    3.810279e+04    3.806274e+04
5.080000e+00    3.807086e+04    3.803054e+04
5.090000e+00    3.803893e+04    3.799834e+04
5.100000e+00    3.800700e+04    3.796614e+04
5.110000e+00    3.797508e+04    3.793394e+04
5.120000e+00    3.794315e+04    3.790175e+04
5.130000e+00    3.791122e+04    3.786955e+04
5.140000e+00    3.787929e+04    3.783735e+04
5.150000e+00    3.784736e+04    3.780515e+04
5.160000e+00    3.781543e+04    3.777295e+04
5.170000e+00    3.778350e+04    3.774075e+04
5.180000e+00    3.775158e+04    3.770855e+04
5.190000e+00    3.771965e+04    3.767635e+04
5.200000e+00    3.768772e+04    3.764415e+04
5.210000e+00    3.765579e+04    3.761195e+04
5.220000e+00    3.762386e+04    3.757976e+04
5.230000e+00    3.759193e+04    3.754756e+04
5.240000e+00    3.756000e+04    3.751536e+04
5.250000e+00    3.752808e+04    3.748316e+04
5.260000e+00    3.749615e+04    3.745096e+04
5.270000e+00    3.746422e+04    3.741876e+04
5.280000e+00    3.743229e+04    3.738656e+04
5.290000e+00    3.740036e+04    3.735436e+04
5.300000e+00    3.736843e+04    3.732216e+04
5.310000e+00    3.733650e+04    3.728997e+04
5.320000e+00    3.730458e+04    3.725777e+04
5.330000e+00    3.727265e+04    3.722557e+04
5.340000e+00    3.724072e+04    3.719337e+04
5.350000e+00    3.720879e+04    3.716117e+04
5.360000e+00    3.717686e+04    3.712897e+04
5.370000e+00    3.714493e+04    3.709677e+04
5.380000e+00    3.711300e+04    3.706457e+04
5.390000e+00    3.708108e+04    3.703237e+04
5.400000e+00    3.704915e+04    3.700017e+04
5.410000e+00    3.701722e+04    3.696798e+04
5.420000e+00    3.698529e+04    3.693578e+04
5.430000e+00    3.695336e+04    3.690358e+04
5.440000e+00    3.692143e+04    3.687138e+04
5.450000e+00    3.688950e+04    3.683918e+04
5.460000e+00    3.685758e+04    3.680698e+04
5.470000e+00    3.682565e+04    3.677478e+04
5.480000e+00    3.679372e+04    3.674258e+04
5.490000e+00    3.676179e+04    3.671038e+04
5.500000e+00    3.672986e+04    3.667818e+04
5.510000e+00    3.669793e+04    3.664599e+04
5.520000e+00    3.666600e+04    3.661379e+04
5.530000e+00    3.663407e+04    3.658159e+04
5.540000e+00    3.660215e+04    3.654939e+04
5.550000e+00    3.657022e+04    3.651719e+04
5.560000e+00    3.653829e+04    3.648499e+04
5.570000e+00    3.650636e+04    3.645279e+04
5.580000e+00    3.647443e+04    3.642059e+04
5.590000e+00    3.644250e+04    3.638839e+04
5.600000e+00    3.641057e+04    3.635620e+04
5.610000e+00    3.637865e+04    3.632400e+04
5.620000e+00    3.634672e+04    3.629180e+04
5.630000e+00    3.631479e+04    3.625960e+04
5.640000e+00    3.628286e+04    3.622740e+04
5.650000e+00    3.625093e+04    3.619520e+04
5.660000e+00    3.621900e+04    3.616300e+04
5.670000e+00    3.618707e+04    3.613080e+04
5.680000e+00    3.615515e+04    3.609860e+04
