# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.820000e+00    6.865118e+05    8.751860e+05
1.830000e+00    6.777661e+05    8.908362e+05
1.840000e+00    6.869954e+05    9.040336e+05
1.850000e+00    7.030393e+05    9.005588e+05
1.860000e+00    7.080650e+05    8.829367e+05
1.870000e+00    6.954065e+05    8.678330e+05
1.880000e+00    6.761182e+05    8.692104e+05
1.890000e+00    6.676890e+05    8.845271e+05
1.900000e+00    6.766438e+05    8.974714e+05
1.910000e+00    6.921636e+05    8.942633e+05
1.920000e+00    6.969922e+05    8.774479e+05
1.930000e+00    6.847752e+05    8.631132e+05
1.940000e+00    6.661717e+05    8.647288e+05
1.950000e+00    6.580852e+05    8.798390e+05
1.960000e+00    6.668467e+05    8.926206e+05
1.970000e+00    6.819050e+05    8.898339e+05
1.980000e+00    6.867921e+05    8.741048e+05
1.990000e+00    6.752239e+05    8.608068e+05
2.000000e+00    6.575066e+05    8.629730e+05
2.010000e+00    6.502001e+05    8.783698e+05
2.020000e+00    6.593732e+05    8.917454e+05
2.030000e+00    6.746301e+05    8.901165e+05
2.040000e+00    6.799376e+05    8.758799e+05
2.050000e+00    6.693414e+05    8.640815e+05
2.060000e+00    6.528420e+05    8.673815e+05
2.070000e+00    6.462721e+05    8.833139e+05
2.080000e+00    6.554298e+05    8.971460e+05
2.090000e+00    6.705291e+05    8.965629e+05
2.100000e+00    6.760531e+05    8.838666e+05
2.110000e+00    6.663108e+05    8.736194e+05
2.120000e+00    6.509852e+05    8.779408e+05
2.130000e+00    6.452952e+05    8.945809e+05
2.140000e+00    6.548916e+05    9.093667e+05
2.150000e+00    6.703721e+05    9.103712e+05
2.160000e+00    6.768046e+05    8.998799e+05
2.170000e+00    6.687328e+05    8.918661e+05
2.180000e+00    6.554285e+05    8.980422e+05
2.190000e+00    6.515867e+05    9.163662e+05
2.200000e+00    6.627939e+05    9.332481e+05
2.210000e+00    6.801219e+05    9.372922e+05
2.220000e+00    6.894221e+05    9.305937e+05
2.230000e+00    6.854740e+05    9.264816e+05
2.240000e+00    6.771740e+05    9.362979e+05
2.250000e+00    6.788111e+05    9.582850e+05
2.260000e+00    6.961249e+05    9.796323e+05
2.270000e+00    7.213366e+05    9.893990e+05
2.280000e+00    7.416221e+05    9.891334e+05
2.290000e+00    7.524583e+05    9.910026e+05
2.300000e+00    7.628639e+05    1.005403e+06
2.310000e+00    7.875322e+05    1.030335e+06
2.320000e+00    8.341203e+05    1.052405e+06
2.330000e+00    8.979244e+05    1.057471e+06
2.340000e+00    9.676527e+05    1.039717e+06
2.350000e+00    1.034761e+06    1.001047e+06
2.360000e+00    1.095982e+06    9.431773e+05
2.370000e+00    1.146916e+06    8.635019e+05
2.380000e+00    1.175670e+06    7.606706e+05
2.390000e+00    1.166176e+06    6.445525e+05
2.400000e+00    1.111335e+06    5.385414e+05
2.410000e+00    1.023245e+06    4.680842e+05
2.420000e+00    9.296864e+05    4.437831e+05
2.430000e+00    8.571640e+05    4.536817e+05
2.440000e+00    8.139320e+05    4.725815e+05
2.450000e+00    7.876787e+05    4.814940e+05
2.460000e+00    7.599342e+05    4.800859e+05
2.470000e+00    7.233785e+05    4.818911e+05
2.480000e+00    6.868672e+05    4.980115e+05
2.490000e+00    6.645049e+05    5.249011e+05
2.500000e+00    6.601668e+05    5.477809e+05
2.510000e+00    6.632773e+05    5.555573e+05
2.520000e+00    6.584820e+05    5.511843e+05
2.530000e+00    6.406371e+05    5.487869e+05
2.540000e+00    6.193189e+05    5.594034e+05
2.550000e+00    6.085441e+05    5.800840e+05
2.560000e+00    6.126630e+05    5.972589e+05
2.570000e+00    6.219893e+05    6.002852e+05
2.580000e+00    6.223656e+05    5.921648e+05
2.590000e+00    6.093896e+05    5.864422e+05
2.600000e+00    5.924023e+05    5.935530e+05
2.610000e+00    5.849593e+05    6.106245e+05
2.620000e+00    5.912922e+05    6.245176e+05
2.630000e+00    6.021055e+05    6.250234e+05
2.640000e+00    6.039760e+05    6.151006e+05
2.650000e+00    5.927352e+05    6.077247e+05
2.660000e+00    5.774401e+05    6.129389e+05
2.670000e+00    5.712542e+05    6.279370e+05
2.680000e+00    5.782457e+05    6.399406e+05
2.690000e+00    5.894071e+05    6.391242e+05
2.700000e+00    5.917908e+05    6.283358e+05
2.710000e+00    5.813747e+05    6.201444e+05
2.720000e+00    5.669939e+05    6.243113e+05
2.730000e+00    5.614394e+05    6.380067e+05
2.740000e+00    5.686107e+05    6.488351e+05
2.750000e+00    5.797715e+05    6.472618e+05
2.760000e+00    5.823331e+05    6.360579e+05
2.770000e+00    5.723893e+05    6.274989e+05
2.780000e+00    5.586280e+05    6.310083e+05
2.790000e+00    5.534505e+05    6.438093e+05
2.800000e+00    5.606444e+05    6.538320e+05
2.810000e+00    5.716791e+05    6.517765e+05
2.820000e+00    5.742701e+05    6.403642e+05
2.830000e+00    5.647309e+05    6.315642e+05
2.840000e+00    5.514797e+05    6.345624e+05
2.850000e+00    5.466114e+05    6.466367e+05
2.860000e+00    5.538199e+05    6.559749e+05
2.870000e+00    5.647068e+05    6.535202e+05
2.880000e+00    5.673069e+05    6.420291e+05
2.890000e+00    5.580293e+05    6.331707e+05
2.900000e+00    5.451401e+05    6.358665e+05
2.910000e+00    5.404923e+05    6.474334e+05
2.920000e+00    5.476150e+05    6.562811e+05
2.930000e+00    5.582869e+05    6.536248e+05
2.940000e+00    5.608397e+05    6.421657e+05
2.950000e+00    5.517760e+05    6.333184e+05
2.960000e+00    5.392262e+05    6.358251e+05
2.970000e+00    5.347634e+05    6.469513e+05
2.980000e+00    5.417908e+05    6.553947e+05
2.990000e+00    5.522613e+05    6.525801e+05
3.000000e+00    5.547462e+05    6.411700e+05
3.010000e+00    5.458522e+05    6.323895e+05
3.020000e+00    5.336036e+05    6.347131e+05
3.030000e+00    5.292803e+05    6.454584e+05
3.040000e+00    5.361989e+05    6.535588e+05
3.050000e+00    5.464513e+05    6.506109e+05
3.060000e+00    5.488314e+05    6.392936e+05
3.070000e+00    5.401032e+05    6.305989e+05
3.080000e+00    5.280922e+05    6.327173e+05
3.090000e+00    5.238631e+05    6.430596e+05
3.100000e+00    5.306623e+05    6.507576e+05
3.110000e+00    5.406618e+05    6.476219e+05
3.120000e+00    5.429270e+05    6.363283e+05
3.130000e+00    5.343760e+05    6.277003e+05
3.140000e+00    5.226712e+05    6.297822e+05
3.150000e+00    5.186586e+05    6.399299e+05
3.160000e+00    5.254179e+05    6.474359e+05
3.170000e+00    5.352783e+05    6.443295e+05
3.180000e+00    5.375358e+05    6.332480e+05
3.190000e+00    5.292986e+05    6.249399e+05
3.200000e+00    5.180141e+05    6.271670e+05
3.210000e+00    5.142946e+05    6.372477e+05
3.220000e+00    5.211306e+05    6.447152e+05
3.230000e+00    5.309855e+05    6.417635e+05
3.240000e+00    5.333388e+05    6.310025e+05
3.250000e+00    5.252244e+05    6.228456e+05
3.260000e+00    5.141614e+05    6.250062e+05
3.270000e+00    5.105373e+05    6.348539e+05
3.280000e+00    5.172692e+05    6.421132e+05
3.290000e+00    5.269216e+05    6.391140e+05
3.300000e+00    5.291700e+05    6.284995e+05
3.310000e+00    5.211700e+05    6.204788e+05
3.320000e+00    5.103011e+05    6.225959e+05
3.330000e+00    5.067413e+05    6.322458e+05
3.340000e+00    5.133035e+05    6.392789e+05
3.350000e+00    5.226767e+05    6.362388e+05
3.360000e+00    5.247676e+05    6.257509e+05
3.370000e+00    5.168019e+05    6.178321e+05
3.380000e+00    5.060458e+05    6.198876e+05
3.390000e+00    5.025440e+05    6.293175e+05
