# Freq(GHz) Re(Z) Im(Z)
2.720000e+00 1.644288e+05 3.213747e+05
2.730000e+00 1.641946e+05 3.211035e+05
2.740000e+00 1.639603e+05 3.208323e+05
2.750000e+00 1.637261e+05 3.205611e+05
2.760000e+00 1.634919e+05 3.202900e+05
2.770000e+00 1.632577e+05 3.200188e+05
2.780000e+00 1.630235e+05 3.197477e+05
2.790000e+00 1.627893e+05 3.194765e+05
2.800000e+00 1.625551e+05 3.192054e+05
2.810000e+00 1.623209e+05 3.189342e+05
2.820000e+00 1.620867e+05 3.186631e+05
2.830000e+00 1.618526e+05 3.183919e+05
2.840000e+00 1.616184e+05 3.181208e+05
2.850000e+00 1.613843e+05 3.178497e+05
2.860000e+00 1.611501e+05 3.175786e+05
2.870000e+00 1.609160e+05 3.173074e+05
2.880000e+00 1.606818e+05 3.170363e+05
2.890000e+00 1.604477e+05 3.167652e+05
2.900000e+00 1.602135e+05 3.164941e+05
2.910000e+00 1.599794e+05 3.162229e+05
2.920000e+00 1.597453e+05 3.159518e+05
2.930000e+00 1.595112e+05 3.156807e+05
2.940000e+00 1.592771e+05 3.154096e+05
2.950000e+00 1.590430e+05 3.151385e+05
2.960000e+00 1.588089e+05 3.148674e+05
2.970000e+00 1.585748e+05 3.145963e+05
2.980000e+00 1.583407e+05 3.143252e+05
2.990000e+00 1.581066e+05 3.140541e+05
3.000000e+00 1.578725e+05 3.137831e+05
3.010000e+00 1.576385e+05 3.135120e+05
3.020000e+00 1.574044e+05 3.132409e+05
3.030000e+00 1.571703e+05 3.129698e+05
3.040000e+00 1.569363e+05 3.126987e+05
3.050000e+00 1.567022e+05 3.124277e+05
3.060000e+00 1.564682e+05 3.121566e+05
3.070000e+00 1.562341e+05 3.118855e+05
3.080000e+00 1.560001e+05 3.116144e+05
3.090000e+00 1.557661e+05 3.113434e+05
3.100000e+00 1.555320e+05 3.110723e+05
3.110000e+00 1.552980e+05 3.108013e+05
3.120000e+00 1.550640e+05 3.105302e+05
3.130000e+00 1.548300e+05 3.102591e+05
3.140000e+00 1.545960e+05 3.099881e+05
3.150000e+00 1.543620e+05 3.097170e+05
3.160000e+00 1.541280e+05 3.094460e+05
3.170000e+00 1.539540e+05 3.092359e+05
3.180000e+00 1.537976e+05 3.090439e+05
3.190000e+00 1.536413e+05 3.088518e+05
3.200000e+00 1.534850e+05 3.086598e+05
3.210000e+00 1.533286e+05 3.084677e+05
3.220000e+00 1.531723e+05 3.082757e+05
3.230000e+00 1.530160e+05 3.080836e+05
3.240000e+00 1.528597e+05 3.078916e+05
3.250000e+00 1.527034e+05 3.076996e+05
3.260000e+00 1.525471e+05 3.075075e+05
3.270000e+00 1.523908e+05 3.073155e+05
3.280000e+00 1.522345e+05 3.071235e+05
3.290000e+00 1.520783e+05 3.069314e+05
3.300000e+00 1.519220e+05 3.067394e+05
3.310000e+00 1.517657e+05 3.065474e+05
3.320000e+00 1.516094e+05 3.063553e+05
3.330000e+00 1.514532e+05 3.061633e+05
3.340000e+00 1.512969e+05 3.059713e+05
3.350000e+00 1.511407e+05 3.057793e+05
3.360000e+00 1.509844e+05 3.055873e+05
3.370000e+00 1.508282e+05 3.053952e+05
3.380000e+00 1.506719e+05 3.052032e+05
3.390000e+00 1.505157e+05 3.050112e+05
3.400000e+00 1.503595e+05 3.048192e+05
3.410000e+00 1.502032e+05 3.046272e+05
3.420000e+00 1.500470e+05 3.044352e+05
3.430000e+00 1.498908e+05 3.042432e+05
3.440000e+00 1.497346e+05 3.040512e+05
3.450000e+00 1.495784e+05 3.038592e+05
3.460000e+00 1.494222e+05 3.036672e+05
3.470000e+00 1.492660e+05 3.034752e+05
3.480000e+00 1.491098e+05 3.032832e+05
3.490000e+00 1.489536e+05 3.030912e+05
3.500000e+00 1.487975e+05 3.028992e+05
3.510000e+00 1.486413e+05 3.027072e+05
3.520000e+00 1.484851e+05 3.025152e+05
3.530000e+00 1.483290e+05 3.023232e+05
3.540000e+00 1.481728e+05 3.021312e+05
3.550000e+00 1.480166e+05 3.019392e+05
3.560000e+00 1.478605e+05 3.017473e+05
3.570000e+00 1.477044e+05 3.015553e+05
3.580000e+00 1.475482e+05 3.013633e+05
3.590000e+00 1.473921e+05 3.011713e+05
3.600000e+00 1.472359e+05 3.009793e+05
3.610000e+00 1.470798e+05 3.007874e+05
3.620000e+00 1.469237e+05 3.005954e+05
3.630000e+00 1.467676e+05 3.004034e+05
3.640000e+00 1.466115e+05 3.002114e+05
3.650000e+00 1.464554e+05 3.000195e+05
3.660000e+00 1.462993e+05 2.998275e+05
3.670000e+00 1.461432e+05 2.996355e+05
3.680000e+00 1.459871e+05 2.994436e+05
3.690000e+00 1.458310e+05 2.992516e+05
3.700000e+00 1.456749e+05 2.990596e+05
3.710000e+00 1.455188e+05 2.988677e+05
3.720000e+00 1.453627e+05 2.986757e+05
3.730000e+00 1.452067e+05 2.984837e+05
3.740000e+00 1.450506e+05 2.982918e+05
3.750000e+00 1.448945e+05 2.980998e+05
3.760000e+00 1.447385e+05 2.979079e+05
3.770000e+00 1.445824e+05 2.977159e+05
3.780000e+00 1.444264e+05 2.975240e+05
3.790000e+00 1.442703e+05 2.973320e+05
3.800000e+00 1.441143e+05 2.971401e+05
3.810000e+00 1.439583e+05 2.969481e+05
3.820000e+00 1.438022e+05 2.967562e+05
3.830000e+00 1.436462e+05 2.965642e+05
3.840000e+00 1.434902e+05 2.963723e+05
3.850000e+00 1.433342e+05 2.961803e+05
3.860000e+00 1.431782e+05 2.959884e+05
3.870000e+00 1.430222e+05 2.957965e+05
3.880000e+00 1.428662e+05 2.956045e+05
3.890000e+00 1.427102e+05 2.954126e+05
3.900000e+00 1.425542e+05 2.952206e+05
3.910000e+00 1.423982e+05 2.950287e+05
3.920000e+00 1.422422e+05 2.948367e+05
3.930000e+00 1.420862e+05 2.946448e+05
3.940000e+00 1.419303e+05 2.944529e+05
3.950000e+00 1.417743e+05 2.942609e+05
3.960000e+00 1.416183e+05 2.940690e+05
3.970000e+00 1.414624e+05 2.938771e+05
3.980000e+00 1.413064e+05 2.936852e+05
3.990000e+00 1.411997e+05 2.935431e+05
4.000000e+00 1.410988e+05 2.934071e+05
4.010000e+00 1.409979e+05 2.932711e+05
4.020000e+00 1.408970e+05 2.931351e+05
4.030000e+00 1.407962e+05 2.929991e+05
4.040000e+00 1.406953e+05 2.928631e+05
4.050000e+00 1.405945e+05 2.927271e+05
4.060000e+00 1.404936e+05 2.925911e+05
4.070000e+00 1.403928e+05 2.924551e+05
4.080000e+00 1.402920e+05 2.923191e+05
4.090000e+00 1.401911e+05 2.921831e+05
4.100000e+00 1.400903e+05 2.920471e+05
4.110000e+00 1.399895e+05 2.919111e+05
4.120000e+00 1.398887e+05 2.917751e+05
4.130000e+00 1.397879e+05 2.916391e+05
4.140000e+00 1.396871e+05 2.915031e+05
4.150000e+00 1.395862e+05 2.913671e+05
4.160000e+00 1.394854e+05 2.912311e+05
4.170000e+00 1.393847e+05 2.910951e+05
4.180000e+00 1.392839e+05 2.909591e+05
4.190000e+00 1.391831e+05 2.908231e+05
4.200000e+00 1.390823e+05 2.906871e+05
