# Freq(GHz) Re(Z) Im(Z)
2.210000e+00 2.319754e+03 1.670571e+03
2.220000e+00 2.345851e+03 1.629828e+03
2.230000e+00 2.370719e+03 1.588298e+03
2.240000e+00 2.394333e+03 1.546020e+03
2.250000e+00 2.416668e+03 1.503033e+03
2.260000e+00 2.437702e+03 1.459377e+03
2.270000e+00 2.457375e+03 1.415076e+03
2.280000e+00 2.475570e+03 1.370136e+03
2.290000e+00 2.492399e+03 1.324660e+03
2.300000e+00 2.507847e+03 1.278692e+03
2.310000e+00 2.521897e+03 1.232275e+03
2.320000e+00 2.534537e+03 1.185452e+03
2.330000e+00 2.545678e+03 1.138252e+03
2.340000e+00 2.555274e+03 1.090718e+03
2.350000e+00 2.563425e+03 1.042924e+03
2.360000e+00 2.570121e+03 9.949131e+02
2.370000e+00 2.575359e+03 9.467321e+02
2.380000e+00 2.579132e+03 8.984264e+02
2.390000e+00 2.581327e+03 8.500396e+02
2.400000e+00 2.581976e+03 8.016264e+02
2.410000e+00 2.581158e+03 7.532365e+02
2.420000e+00 2.578873e+03 7.049158e+02
2.430000e+00 2.575125e+03 6.567099e+02
2.440000e+00 2.569920e+03 6.086643e+02
2.450000e+00 2.563120e+03 5.608495e+02
2.460000e+00 2.554837e+03 5.133016e+02
2.470000e+00 2.545122e+03 4.660592e+02
2.480000e+00 2.533988e+03 4.191665e+02
2.490000e+00 2.521447e+03 3.726673e+02
2.500000e+00 2.507512e+03 3.266049e+02
2.510000e+00 2.492033e+03 2.810864e+02
2.520000e+00 2.475191e+03 2.361015e+02
2.530000e+00 2.457012e+03 1.916892e+02
2.540000e+00 2.437515e+03 1.478902e+02
2.550000e+00 2.416723e+03 1.047444e+02
2.560000e+00 2.394634e+03 6.230476e+01
2.570000e+00 2.371163e+03 2.068099e+01
2.580000e+00 2.346474e+03 -2.016625e+01
2.590000e+00 2.320594e+03 -6.020065e+01
2.600000e+00 2.293550e+03 -9.938685e+01
2.610000e+00 2.265372e+03 -1.376905e+02
2.620000e+00 2.236044e+03 -1.750380e+02
2.630000e+00 2.205557e+03 -2.113512e+02
2.640000e+00 2.174035e+03 -2.466783e+02
2.650000e+00 2.141513e+03 -2.809896e+02
2.660000e+00 2.108025e+03 -3.142564e+02
2.670000e+00 2.073606e+03 -3.464516e+02
2.680000e+00 2.038235e+03 -3.774746e+02
2.690000e+00 2.001960e+03 -4.073013e+02
2.700000e+00 1.964872e+03 -4.359767e+02
2.710000e+00 1.927010e+03 -4.634788e+02
2.720000e+00 1.888412e+03 -4.897872e+02
2.730000e+00 1.849120e+03 -5.148824e+02
2.740000e+00 1.809116e+03 -5.386348e+02
2.750000e+00 1.768482e+03 -5.610890e+02
2.760000e+00 1.727283e+03 -5.822777e+02
2.770000e+00 1.685561e+03 -6.021874e+02
2.780000e+00 1.643357e+03 -6.208062e+02
2.790000e+00 1.600713e+03 -6.381237e+02
