# t_ns	Wlong_VAC_V/pC	Wx_VAC_V/pCmm	Wy_VAC_V/pCmm
4.003569856349e-03	1.272633909188e+03	1.083190946692e+01	5.589709638459e+00
4.137022184894e-03	1.261045937251e+03	1.087992530830e+01	5.602043007869e+00
4.270474513439e-03	1.249457965314e+03	1.092794114968e+01	5.614376377280e+00
4.403926841984e-03	1.237869993376e+03	1.097595699107e+01	5.626709746690e+00
4.537379170529e-03	1.226282021439e+03	1.102397283245e+01	5.639043116100e+00
4.670831499074e-03	1.214694049502e+03	1.107198867383e+01	5.651376485511e+00
4.804283827619e-03	1.203106077565e+03	1.112000451522e+01	5.663709854921e+00
4.937736156164e-03	1.191518105627e+03	1.116802035660e+01	5.676043224331e+00
5.071188484709e-03	1.178511866721e+03	1.119711167560e+01	5.669812250425e+00
5.204640813254e-03	1.164265163806e+03	1.120965097062e+01	5.647344277265e+00
5.338093141799e-03	1.150018460891e+03	1.122219026564e+01	5.624876304105e+00
5.471545470344e-03	1.135771757977e+03	1.123472956067e+01	5.602408330945e+00
5.604997798889e-03	1.121525055062e+03	1.124726885569e+01	5.579940357785e+00
5.738450127434e-03	1.107278352147e+03	1.125980815071e+01	5.557472384625e+00
5.871902455979e-03	1.093031649232e+03	1.127234744573e+01	5.535004411465e+00
6.005354784524e-03	1.078784946317e+03	1.128488674075e+01	5.512536438305e+00
6.138807113069e-03	1.064538243403e+03	1.129742603577e+01	5.490068465145e+00
6.272259441614e-03	1.050291540488e+03	1.130996533079e+01	5.467600491985e+00
6.405711770159e-03	1.036044837573e+03	1.132250462581e+01	5.445132518825e+00
6.539164098704e-03	1.021798134658e+03	1.133504392084e+01	5.422664545665e+00
6.672616427248e-03	1.007551431743e+03	1.134758321586e+01	5.400196572506e+00
6.806068755793e-03	9.933047288287e+02	1.136012251088e+01	5.377728599346e+00
6.939521084338e-03	9.790580259138e+02	1.137266180590e+01	5.355260626186e+00
7.072973412883e-03	9.642978851003e+02	1.137724994944e+01	5.326200389945e+00
7.206425741428e-03	9.491122171510e+02	1.137524833651e+01	5.291676616956e+00
7.339878069973e-03	9.339265492017e+02	1.137324672358e+01	5.257152843967e+00
7.473330398518e-03	9.187408812524e+02	1.137124511065e+01	5.222629070978e+00
7.606782727063e-03	9.035552133031e+02	1.136924349772e+01	5.188105297990e+00
7.740235055608e-03	8.883695453538e+02	1.136724188479e+01	5.153581525001e+00
7.873687384153e-03	8.731838774045e+02	1.136524027186e+01	5.119057752012e+00
8.007139712698e-03	8.579479747347e+02	1.136246071894e+01	5.083888992561e+00
8.140592041243e-03	8.418233417713e+02	1.134591819838e+01	5.037309420005e+00
8.274044369788e-03	8.256987088079e+02	1.132937567781e+01	4.990729847449e+00
8.407496698333e-03	8.095740758444e+02	1.131283315724e+01	4.944150274893e+00
8.540949026878e-03	7.934494428810e+02	1.129629063668e+01	4.897570702336e+00
8.674401355423e-03	7.773248099176e+02	1.127974811611e+01	4.850991129780e+00
8.807853683968e-03	7.612001769542e+02	1.126320559554e+01	4.804411557224e+00
8.941306012513e-03	7.450755439908e+02	1.124666307497e+01	4.757831984668e+00
9.074758341058e-03	7.289509110244e+02	1.123012055436e+01	4.711252412090e+00
9.208210669603e-03	7.128262780557e+02	1.121357803369e+01	4.664672839495e+00
9.341662998148e-03	6.967016450870e+02	1.119703551303e+01	4.618093266899e+00
9.475115326693e-03	6.805770121182e+02	1.118049299237e+01	4.571513694304e+00
9.608567655238e-03	6.644523791495e+02	1.116395047171e+01	4.524934121709e+00
9.742019983783e-03	6.483277461808e+02	1.114740795105e+01	4.478354549114e+00
9.875472312328e-03	6.322031132120e+02	1.113086543039e+01	4.431774976518e+00
1.000892464087e-02	6.160124634827e+02	1.111315953837e+01	4.384711698877e+00
1.014237696942e-02	5.989006658088e+02	1.107922084240e+01	4.330899166901e+00
1.027582929796e-02	5.817888681362e+02	1.104528214643e+01	4.277086634929e+00
