# This wake potential is calculated with sigma = 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
1.268253650730145843e+01	3.735863992094832775e-01
1.272254450890178035e+01	3.747569035697497775e-01
1.276255251050210049e+01	3.759273324338921474e-01
1.280256051210242063e+01	3.770976855661673510e-01
1.284256851370274077e+01	3.782679627308472292e-01
1.288257651530306269e+01	3.794381636922192214e-01
1.292258451690338106e+01	3.806082882145861435e-01
1.296259251850369942e+01	3.817783360622661326e-01
1.300260052010402134e+01	3.829483069995929800e-01
1.304260852170433971e+01	3.841182007909157980e-01
1.308261652330466163e+01	3.852880172005994641e-01
1.312262452490498177e+01	3.864577559930243988e-01
1.316263252650530013e+01	3.876274169325867325e-01
1.320264052810562205e+01	3.887969997836982494e-01
1.324264852970594220e+01	3.899665043107865547e-01
1.328265653130626056e+01	3.911359302782948522e-01
1.332266453290658070e+01	3.923052774506828877e-01
1.336267253450690085e+01	3.934745455924253399e-01
1.340268053610722099e+01	3.946437344680136516e-01
1.344268853770754113e+01	3.958128438419549755e-01
1.348269653930786305e+01	3.969818734787723402e-01
1.352270454090818141e+01	3.981508231430050393e-01
1.356271254250850156e+01	3.993196925992087976e-01
1.360272054410882347e+01	4.004884816119551605e-01
1.364272854570914006e+01	4.016571899458317163e-01
1.368273654730946021e+01	4.028258173654431507e-01
1.372274454890978213e+01	4.039943636354096923e-01
1.376275255051010049e+01	4.051628285203682234e-01
1.380276055211042241e+01	4.063312117849722793e-01
1.384276855371074255e+01	4.074995131938914938e-01
1.388277655531106092e+01	4.086677325118123760e-01
1.392278455691138284e+01	4.098358695034377552e-01
1.396279255851170120e+01	4.110039239334872807e-01
1.400280056011202312e+01	4.121718955666971995e-01
1.404280856171234149e+01	4.133397841678203566e-01
1.408281656331266163e+01	4.145075895016265832e-01
1.412282456491298355e+01	4.156753113329024196e-01
1.416283256651330191e+01	4.168429494264510593e-01
1.420284056811362383e+01	4.180105035470930708e-01
1.424284856971394397e+01	4.191779734596655094e-01
1.428285657131426234e+01	4.203453589290228054e-01
1.432286457291458248e+01	4.215126597200361536e-01
1.436287257451490262e+01	4.226798755975941235e-01
1.440288057611522277e+01	4.238470063266020493e-01
1.444288857771554291e+01	4.250140516719830286e-01
1.448289657931586483e+01	4.261810113986767568e-01
1.452290458091618319e+01	4.273478852716405818e-01
1.456291258251650333e+01	4.285146730558491712e-01
1.460292058411682525e+01	4.296813745162945675e-01
1.464292858571714184e+01	4.308479894179862435e-01
1.468293658731746198e+01	4.320145175259510473e-01
1.472294458891778390e+01	4.331809586052334793e-01
1.476295259051810227e+01	4.343473124208955261e-01
1.480296059211842419e+01	4.355135787380168266e-01
1.484296859371874433e+01	4.366797573216947836e-01
1.488297659531906270e+01	4.378458479370441747e-01
1.492298459691938461e+01	4.390118503491982072e-01
1.496299259851970476e+01	4.401777643233070747e-01
1.500300060012002312e+01	4.413435896245394563e-01
1.504300860172034326e+01	4.425093260180816834e-01
1.508301660332066341e+01	4.436749732691381287e-01
1.512302460492098355e+01	4.448405311429309283e-01
1.516303260652130369e+01	4.460059994047005372e-01
1.520304060812162561e+01	4.471713778197056732e-01
1.524304860972194398e+01	4.483366661532225961e-01
1.528305661132226412e+01	4.495018641705463280e-01
1.532306461292258426e+01	4.506669716369898215e-01
1.536307261452290440e+01	4.518319883178844032e-01
1.540308061612322454e+01	4.529969139785796073e-01
1.544308861772354469e+01	4.541617483844437309e-01
1.548309661932386661e+01	4.553264913008630010e-01
1.552310462092418497e+01	4.564911424932424078e-01
1.556311262252450511e+01	4.576557017270055372e-01
1.560312062412482703e+01	4.588201687675942941e-01
1.564312862572514362e+01	4.599845433804692907e-01
1.568313662732546554e+01	4.611488253311099017e-01
1.572314462892578391e+01	4.623130143850141538e-01
1.576315263052610582e+01	4.634771103076987808e-01
1.580316063212642419e+01	4.646411128646995015e-01
1.584316863372674611e+01	4.658050218215705751e-01
1.588317663532706447e+01	4.669688369438853570e-01
1.592318463692738639e+01	4.681325579972361872e-01
1.596319263852770831e+01	4.692961847472344461e-01
1.600320064012802490e+01	4.704597169595102768e-01
1.604320864172834860e+01	4.716231543997131404e-01
1.608321664332866519e+01	4.727864968335117046e-01
1.612322464492898533e+01	4.739497440265935113e-01
1.616323264652930547e+01	4.751128957446657530e-01
1.620324064812962561e+01	4.762759517534543852e-01
1.624324864972994575e+01	4.774389118187051806e-01
1.628325665133026590e+01	4.786017757061831746e-01
1.632326465293058604e+01	4.797645431816724981e-01
1.636327265453090618e+01	4.809272140109770999e-01
1.640328065613122632e+01	4.820897879599205238e-01
1.644328865773154646e+01	4.832522647943452987e-01
1.648329665933186661e+01	4.844146442801142149e-01
1.652330466093218675e+01	4.855769261831093253e-01
1.656331266253250689e+01	4.867391102692326665e-01
1.660332066413282703e+01	4.879011963044056488e-01
1.664332866573314718e+01	4.890631840545699993e-01
1.668333666733346732e+01	4.902250732856868187e-01
1.672334466893378391e+01	4.913868637637371917e-01
1.676335267053410760e+01	4.925485552547225199e-01
1.680336067213442774e+01	4.937101475246637450e-01
1.684336867373474789e+01	4.948716403396019037e-01
1.688337667533506803e+01	4.960330334655985163e-01
1.692338467693538462e+01	4.971943266687345320e-01
1.696339267853570831e+01	4.983555197151119387e-01
1.700340068013602490e+01	4.995166123708520423e-01
1.704340868173634860e+01	5.006776044020974092e-01
1.708341668333666874e+01	5.018384955750098131e-01
1.712342468493698888e+01	5.029992856557723435e-01
1.716343268653730902e+01	5.041599744105880188e-01
1.720344068813762561e+01	5.053205616056805072e-01
1.724344868973794576e+01	5.064810470072935722e-01
1.728345669133826590e+01	5.076414303816922935e-01
1.732346469293858959e+01	5.088017114951618458e-01
1.736347269453890618e+01	5.099618901140078320e-01
1.740348069613922988e+01	5.111219660045571711e-01
1.744348869773955002e+01	5.122819389331569884e-01
1.748349669933987016e+01	5.134418086661756142e-01
1.752350470094018675e+01	5.146015749700018072e-01
1.756351270254050689e+01	5.157612376110456420e-01
1.760352070414083059e+01	5.169207963557377328e-01
1.764352870574114718e+01	5.180802509705298986e-01
1.768353670734146732e+01	5.192396012218949419e-01
1.772354470894178746e+01	5.203988468763269815e-01
1.776355271054211116e+01	5.215579877003405640e-01
1.780356071214242775e+01	5.227170234604718857e-01
1.784356871374274789e+01	5.238759539232787921e-01
1.788357671534306803e+01	5.250347788553394457e-01
1.792358471694338462e+01	5.261934980232538805e-01
1.796359271854371187e+01	5.273521111936436689e-01
1.800360072014402846e+01	5.285106181331510333e-01
1.804360872174434860e+01	5.296690186084406227e-01
1.808361672334466874e+01	5.308273123861978471e-01
1.812362472494498888e+01	5.319854992331298771e-01
1.816363272654530903e+01	5.331435789159654215e-01
1.820364072814562917e+01	5.343015512014552826e-01
1.824364872974594931e+01	5.354594158563712458e-01
1.828365673134626590e+01	5.366171726475071901e-01
1.832366473294658960e+01	5.377748213416788658e-01
1.836367273454690974e+01	5.389323617057236726e-01
1.840368073614722988e+01	5.400897935065008815e-01
1.844368873774755002e+01	5.412471165108918569e-01
1.848369673934787016e+01	5.424043304857997239e-01
1.852370474094818675e+01	5.435614351981498116e-01
1.856371274254851045e+01	5.447184304148894318e-01
1.860372074414883059e+01	5.458753159029876567e-01
1.864372874574914718e+01	5.470320914294365400e-01
1.868373674734947087e+01	5.481887567612495626e-01
1.872374474894978746e+01	5.493453116654628543e-01
1.876375275055011116e+01	5.505017559091347490e-01
1.880376075215043130e+01	5.516580892593457852e-01
1.884376875375074789e+01	5.528143114831991500e-01
1.888377675535106803e+01	5.539704223478202350e-01
1.892378475695138818e+01	5.551264216203571911e-01
1.896379275855171187e+01	5.562823090679803739e-01
1.900380076015202846e+01	5.574380844578826766e-01
1.904380876175235215e+01	5.585937475572805289e-01
1.908381676335266874e+01	5.597492981334114548e-01
1.912382476495299244e+01	5.609047359535374033e-01
1.916383276655331258e+01	5.620600607849415287e-01
1.920384076815362917e+01	5.632152723949307438e-01
1.924384876975395287e+01	5.643703705508350543e-01
1.928385677135426945e+01	5.655253550200064483e-01
1.932386477295458960e+01	5.666802255698205615e-01
1.936387277455491329e+01	5.678349819676757892e-01
1.940388077615523343e+01	5.689896239809933975e-01
1.944388877775555002e+01	5.701441513772181890e-01
1.948389677935587372e+01	5.712985639238179481e-01
1.952390478095619031e+01	5.724528613882835515e-01
1.956391278255651045e+01	5.736070435381288579e-01
1.960392078415683415e+01	5.747611101408919287e-01
1.964392878575715073e+01	5.759150609641329188e-01
1.968393678735747088e+01	5.770688957754361859e-01
1.972394478895779102e+01	5.782226143424094023e-01
1.976395279055811471e+01	5.793762164326834441e-01
1.980396079215843130e+01	5.805297018139129461e-01
1.984396879375875145e+01	5.816830702537761910e-01
1.988397679535907159e+01	5.828363215199745540e-01
1.992398479695938818e+01	5.839894553802337240e-01
1.996399279855971542e+01	5.851424716023029271e-01
2.000400080016003201e+01	5.862953699539547037e-01
2.004400880176035216e+01	5.874481502029859081e-01
2.008401680336067230e+01	5.886008121172170426e-01
2.012402480496099244e+01	5.897533554644922571e-01
2.016403280656131258e+01	5.909057800126804594e-01
2.020404080816163273e+01	5.920580855296733169e-01
2.024404880976195287e+01	5.932102717833878103e-01
2.028405681136226946e+01	5.943623385417639016e-01
2.032406481296259315e+01	5.955142855727667550e-01
2.036407281456291329e+01	5.966661126443844054e-01
2.040408081616323344e+01	5.978178195246300897e-01
2.044408881776355358e+01	5.989694059815414695e-01
2.048409681936387372e+01	6.001208717831796324e-01
