# This wake potential is calculated with sigma = 0.4 mm.
# "s [mm]"	"Wake potential [V/pC]"
1.224244848969794042e+01	2.285156928963318901e-01
1.228245649129825878e+01	2.285077842942748183e-01
1.232246449289857892e+01	2.284998499863648280e-01
1.236247249449889907e+01	2.284918899734946773e-01
1.240248049609921921e+01	2.284839042565600387e-01
1.244248849769953935e+01	2.284758928364594155e-01
1.248249649929986127e+01	2.284678557140942257e-01
1.252250450090018141e+01	2.284597928903689401e-01
1.256251250250049978e+01	2.284517043661905833e-01
1.260252050410082170e+01	2.284435901424693161e-01
1.264252850570114006e+01	2.284354502201182691e-01
1.268253650730145843e+01	2.284272846000531820e-01
1.272254450890178035e+01	2.284190932831928755e-01
1.276255251050210049e+01	2.284108762704590567e-01
1.280256051210242063e+01	2.284026335627763193e-01
1.284256851370274077e+01	2.283943651610720604e-01
1.288257651530306269e+01	2.283860710662765636e-01
1.292258451690338106e+01	2.283777512793232212e-01
1.296259251850369942e+01	2.283694058011480343e-01
1.300260052010402134e+01	2.283610346326900853e-01
1.304260852170433971e+01	2.283526377748911762e-01
1.308261652330466163e+01	2.283442152286962457e-01
1.312262452490498177e+01	2.283357669950529523e-01
1.316263252650530013e+01	2.283272930749117857e-01
1.320264052810562205e+01	2.283187934692262611e-01
1.324264852970594220e+01	2.283102681789526966e-01
1.328265653130626056e+01	2.283017172050503807e-01
1.332266453290658070e+01	2.282931405484815157e-01
1.336267253450690085e+01	2.282845382102109411e-01
1.340268053610722099e+01	2.282759101912066879e-01
1.344268853770754113e+01	2.282672564924395353e-01
1.348269653930786305e+01	2.282585771148832043e-01
1.352270454090818141e+01	2.282498720595141917e-01
1.356271254250850156e+01	2.282411413273119916e-01
1.360272054410882347e+01	2.282323849192590404e-01
1.364272854570914006e+01	2.282236028363405222e-01
1.368273654730946021e+01	2.282147950795445357e-01
1.372274454890978213e+01	2.282059616498621490e-01
1.376275255051010049e+01	2.281971025482872062e-01
1.380276055211042241e+01	2.281882177758165486e-01
1.384276855371074255e+01	2.281793073334498767e-01
1.388277655531106092e+01	2.281703712221897495e-01
1.392278455691138284e+01	2.281614094430415851e-01
1.396279255851170120e+01	2.281524219970137712e-01
1.400280056011202312e+01	2.281434088851175546e-01
1.404280856171234149e+01	2.281343701083670406e-01
1.408281656331266163e+01	2.281253056677792490e-01
1.412282456491298355e+01	2.281162155643739198e-01
1.416283256651330191e+01	2.281070997991740679e-01
1.420284056811362383e+01	2.280979583732052896e-01
1.424284856971394397e+01	2.280887912874960399e-01
1.428285657131426234e+01	2.280795985430778550e-01
1.432286457291458248e+01	2.280703801409850739e-01
1.436287257451490262e+01	2.280611360822549227e-01
1.440288057611522277e+01	2.280518663679273195e-01
1.444288857771554291e+01	2.280425709990454575e-01
1.448289657931586483e+01	2.280332499766551946e-01
1.452290458091618319e+01	2.280239033018052197e-01
1.456291258251650333e+01	2.280145309755471084e-01
1.460292058411682525e+01	2.280051329989355446e-01
1.464292858571714184e+01	2.279957093730279050e-01
1.468293658731746198e+01	2.279862600988844246e-01
1.472294458891778390e+01	2.279767851775683363e-01
1.476295259051810227e+01	2.279672846101457040e-01
1.480296059211842419e+01	2.279577583976854505e-01
1.484296859371874433e+01	2.279482065412594682e-01
1.488297659531906270e+01	2.279386290419424810e-01
1.492298459691938461e+01	2.279290259008120711e-01
1.496299259851970476e+01	2.279193971189487633e-01
1.500300060012002312e+01	2.279097426974358853e-01
1.504300860172034326e+01	2.279000626373597627e-01
1.508301660332066341e+01	2.278903569398095519e-01
1.512302460492098355e+01	2.278806256058771851e-01
1.516303260652130369e+01	2.278708686366576752e-01
1.520304060812162561e+01	2.278610860332488108e-01
1.524304860972194398e+01	2.278512777967512115e-01
1.528305661132226412e+01	2.278414439282685222e-01
1.532306461292258426e+01	2.278315844289071912e-01
1.536307261452290440e+01	2.278216992997764700e-01
1.540308061612322454e+01	2.278117885419886912e-01
1.544308861772354469e+01	2.278018521566588517e-01
1.548309661932386661e+01	2.277918901449050015e-01
1.552310462092418497e+01	2.277819025078479942e-01
1.556311262252450511e+01	2.277718892466115419e-01
1.560312062412482703e+01	2.277618503623222990e-01
1.564312862572514362e+01	2.277517858561098063e-01
1.568313662732546554e+01	2.277416957291064359e-01
1.572314462892578391e+01	2.277315799824474463e-01
1.576315263052610582e+01	2.277214386172710381e-01
1.580316063212642419e+01	2.277112716347182431e-01
1.584316863372674611e+01	2.277010790359329795e-01
1.588317663532706447e+01	2.276908608220620522e-01
1.592318463692738639e+01	2.276806169942550973e-01
1.596319263852770831e+01	2.276703475536648036e-01
1.600320064012802490e+01	2.276600525014465526e-01
1.604320864172834860e+01	2.276497318387586954e-01
1.608321664332866519e+01	2.276393855667623312e-01
1.612322464492898533e+01	2.276290136866217784e-01
1.616323264652930547e+01	2.276186161995038260e-01
1.620324064812962561e+01	2.276081931065783159e-01
1.624324864972994575e+01	2.275977444090181157e-01
1.628325665133026590e+01	2.275872701079988125e-01
1.632326465293058604e+01	2.275767702046988250e-01
1.636327265453090618e+01	2.275662447002995969e-01
1.640328065613122632e+01	2.275556935959853200e-01
1.644328865773154646e+01	2.275451168929432666e-01
1.648329665933186661e+01	2.275345145923632906e-01
1.652330466093218675e+01	2.275238866954382988e-01
1.656331266253250689e+01	2.275132332033641958e-01
1.660332066413282703e+01	2.275025541173395505e-01
1.664332866573314718e+01	2.274918494385659573e-01
1.668333666733346732e+01	2.274811191682477030e-01
1.672334466893378391e+01	2.274703633075921272e-01
1.676335267053410760e+01	2.274595818578095119e-01
1.680336067213442774e+01	2.274487748201127757e-01
1.684336867373474789e+01	2.274379421957178626e-01
1.688337667533506803e+01	2.274270839858436588e-01
1.692338467693538462e+01	2.274162001917117981e-01
1.696339267853570831e+01	2.274052908145468010e-01
1.700340068013602490e+01	2.273943558555761302e-01
1.704340868173634860e+01	2.273833953160301902e-01
1.708341668333666874e+01	2.273724091971420225e-01
1.712342468493698888e+01	2.273613975001478327e-01
1.716343268653730902e+01	2.273503602262864909e-01
1.720344068813762561e+01	2.273392973767998926e-01
1.724344868973794576e+01	2.273282089529327088e-01
1.728345669133826590e+01	2.273170949559324694e-01
1.732346469293858959e+01	2.273059553870497018e-01
1.736347269453890618e+01	2.272947902475376813e-01
1.740348069613922988e+01	2.272835995386527363e-01
1.744348869773955002e+01	2.272723832616538320e-01
1.748349669933987016e+01	2.272611414178029865e-01
1.752350470094018675e+01	2.272498740083649937e-01
1.756351270254050689e+01	2.272385810346075619e-01
1.760352070414083059e+01	2.272272624978014244e-01
1.764352870574114718e+01	2.272159183992198961e-01
1.768353670734146732e+01	2.272045487401394281e-01
1.772354470894178746e+01	2.271931535218391363e-01
1.776355271054211116e+01	2.271817327456011337e-01
1.780356071214242775e+01	2.271702864127105315e-01
1.784356871374274789e+01	2.271588145244549939e-01
1.788357671534306803e+01	2.271473170821252940e-01
1.792358471694338462e+01	2.271357940870150360e-01
1.796359271854371187e+01	2.271242455404207106e-01
1.800360072014402846e+01	2.271126714436416671e-01
1.804360872174434860e+01	2.271010717979800586e-01
1.808361672334466874e+01	2.270894466047410631e-01
1.812362472494498888e+01	2.270777958652325512e-01
1.816363272654530903e+01	2.270661195807654464e-01
1.820364072814562917e+01	2.270544177526533647e-01
1.824364872974594931e+01	2.270426903822130027e-01
1.828365673134626590e+01	2.270309374707638050e-01
1.832366473294658960e+01	2.270191590196279918e-01
1.836367273454690974e+01	2.270073550301308363e-01
1.840368073614722988e+01	2.269955255036004982e-01
1.844368873774755002e+01	2.269836704413678019e-01
1.848369673934787016e+01	2.269717898447665971e-01
1.852370474094818675e+01	2.269598837151336757e-01
1.856371274254851045e+01	2.269479520538084938e-01
1.860372074414883059e+01	2.269359948621335332e-01
1.864372874574914718e+01	2.269240121414541622e-01
1.868373674734947087e+01	2.269120038931184413e-01
1.872374474894978746e+01	2.268999701184775397e-01
1.876375275055011116e+01	2.268879108188853466e-01
1.880376075215043130e+01	2.268758259956986656e-01
1.884376875375074789e+01	2.268637156502771035e-01
1.888377675535106803e+01	2.268515797839833203e-01
1.892378475695138818e+01	2.268394183981826129e-01
1.896379275855171187e+01	2.268272314942433865e-01
1.900380076015202846e+01	2.268150190735367111e-01
1.904380876175235215e+01	2.268027811374366265e-01
1.908381676335266874e+01	2.267905176873200035e-01
1.912382476495299244e+01	2.267782287245666550e-01
1.916383276655331258e+01	2.267659142505591696e-01
1.920384076815362917e+01	2.267535742666831333e-01
1.924384876975395287e+01	2.267412087743267690e-01
1.928385677135426945e+01	2.267288177748815747e-01
1.932386477295458960e+01	2.267164012697414077e-01
1.936387277455491329e+01	2.267039592603033171e-01
1.940388077615523343e+01	2.266914917479672664e-01
1.944388877775555002e+01	2.266789987341358559e-01
1.948389677935587372e+01	2.266664802202146833e-01
1.952390478095619031e+01	2.266539362076123165e-01
1.956391278255651045e+01	2.266413666977399877e-01
