# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]	Wxquad [V/pC.mm]	Wyquad [V/pC.mm]
-6.644596776347000e-02	-7.266317702395940e-03	1.566390293982227e-04	7.624188075205370e-04	-4.364319126225354e-05	1.403039206956801e-04
-6.643262519966001e-02	-7.289471909995274e-03	1.571827728711503e-04	7.650861611571621e-04	-4.379709027065210e-05	1.407924668258258e-04
-6.641928263586000e-02	-7.312626117577269e-03	1.577265163436708e-04	7.677535147917896e-04	-4.395098927893540e-05	1.412810129556056e-04
-6.640594007205000e-02	-7.335780325176603e-03	1.582702598165985e-04	7.704208684284146e-04	-4.410488828733396e-05	1.417695590857513e-04
-6.639259750824000e-02	-7.358934532775937e-03	1.588140032895262e-04	7.730882220650398e-04	-4.425878729573252e-05	1.422581052158970e-04
-6.637925494443001e-02	-7.382088740375271e-03	1.593577467624539e-04	7.757555757016649e-04	-4.441268630413107e-05	1.427466513460426e-04
-6.636591238062001e-02	-7.405242947974605e-03	1.599014902353816e-04	7.784229293382900e-04	-4.456658531252962e-05	1.432351974761883e-04
-6.635256981682000e-02	-7.428397155556599e-03	1.604452337079021e-04	7.810902829729175e-04	-4.472048432081293e-05	1.437237436059681e-04
-6.633922725301000e-02	-7.451551363155934e-03	1.609889771808297e-04	7.837576366095426e-04	-4.487438332921149e-05	1.442122897361138e-04
-6.632588468920000e-02	-7.474705570755268e-03	1.615327206537574e-04	7.864249902461677e-04	-4.502828233761005e-05	1.447008358662595e-04
-6.631254212539001e-02	-7.498661239176255e-03	1.620974588748349e-04	7.891964034631521e-04	-4.518809634814610e-05	1.452080118350668e-04
-6.629919956157999e-02	-7.522909590775714e-03	1.626698641077658e-04	7.920058178997931e-04	-4.535007044134556e-05	1.457219911812153e-04
-6.628585699778000e-02	-7.547157942356964e-03	1.632422693402669e-04	7.948152323343242e-04	-4.551204453442338e-05	1.462359705269779e-04
-6.627251443397000e-02	-7.571406293956398e-03	1.638146745731972e-04	7.976246467709622e-04	-4.567401862762268e-05	1.467499498731259e-04
-6.625917187016001e-02	-7.595654645555831e-03	1.643870798061274e-04	8.004340612076003e-04	-4.583599272082197e-05	1.472639292192739e-04
-6.624582930634999e-02	-7.619902997155291e-03	1.649594850390583e-04	8.032434756442414e-04	-4.599796681402143e-05	1.477779085654224e-04
-6.623248674255000e-02	-7.644151348736541e-03	1.655318902715594e-04	8.060528900787725e-04	-4.615994090709925e-05	1.482918879111849e-04
-6.621914417874000e-02	-7.668399700335974e-03	1.661042955044897e-04	8.088623045154105e-04	-4.632191500029854e-05	1.488058672573329e-04
-6.620580161493000e-02	-7.692648051935408e-03	1.666767007374200e-04	8.116717189520485e-04	-4.648388909349783e-05	1.493198466034809e-04
-6.619245905112001e-02	-7.716899932824576e-03	1.672491343951002e-04	8.144812007677713e-04	-4.664589166336836e-05	1.498338690050455e-04
-6.617911648730999e-02	-7.741192682926344e-03	1.678218972116868e-04	8.172914628340117e-04	-4.680822399339421e-05	1.503483899887913e-04
-6.616577392351000e-02	-7.765485433009869e-03	1.683946600278433e-04	8.201017248981419e-04	-4.697055632329816e-05	1.508629109721507e-04
-6.615243135970000e-02	-7.789778183111612e-03	1.689674228444293e-04	8.229119869643795e-04	-4.713288865332384e-05	1.513774319558960e-04
-6.613908879589001e-02	-7.814070933213355e-03	1.695401856610153e-04	8.257222490306172e-04	-4.729522098334953e-05	1.518919529396413e-04
-6.612574623207999e-02	-7.838363683315124e-03	1.701129484776019e-04	8.285325110968577e-04	-4.745755331337537e-05	1.524064739233871e-04
