# time [s]	Wlong [V/C]	Wxdip [V/C.m]	Wydip [V/C.m]	Wxquad [V/C.m]	Wyquad [V/C.m]
3.767272891168000e-10	6.292350177194666e+12	1.987788053092496e+15	4.323340871579445e+15	-4.984988415185599e+14	7.236489663405750e+14
3.767406316806000e-10	6.289002054436058e+12	1.987948476059339e+15	4.323434756355686e+15	-4.984915181274740e+14	7.236258271633452e+14
3.767539742444000e-10	6.285447903548191e+12	1.988108617594841e+15	4.323528772750404e+15	-4.984841951705681e+14	7.236026884202952e+14
3.767673168082000e-10	6.281886121030312e+12	1.988268765231344e+15	4.323622795710128e+15	-4.984768726445922e+14	7.235795501081755e+14
3.767806593720000e-10	6.278316951698447e+12	1.988428918918846e+15	4.323716825181848e+15	-4.984695505462464e+14	7.235564122236858e+14
3.767940019358000e-10	6.274740643143582e+12	1.988589078612349e+15	4.323810861115569e+15	-4.984622288721205e+14	7.235332747634158e+14
3.768073444996001e-10	6.271157445654705e+12	1.988749244260851e+15	4.323904903457290e+15	-4.984549076187846e+14	7.235101377239360e+14
3.768206870634000e-10	6.267567612148838e+12	1.988909415814354e+15	4.323998952154010e+15	-4.984475867826687e+14	7.234870011016761e+14
3.768340296273000e-10	6.263971398070651e+12	1.989069593224218e+15	4.324093007152610e+15	-4.984402663601494e+14	7.234638648928942e+14
3.768473721911000e-10	6.260369061404784e+12	1.989229776434720e+15	4.324187068393332e+15	-4.984329463476135e+14	7.234407290942144e+14
3.768607147549000e-10	6.256760860108910e+12	1.989389965394223e+15	4.324281135820052e+15	-4.984256267412678e+14	7.234175937017246e+14
3.768740573187000e-10	6.253007620936219e+12	1.989549992629390e+15	4.324375272025007e+15	-4.984183075372718e+14	7.233944587115849e+14
3.768873998825000e-10	6.248991188906075e+12	1.989709715750245e+15	4.324469530182620e+15	-4.984109887304059e+14	7.233713241185751e+14
3.769007424463000e-10	6.244969594552915e+12	1.989869444473100e+15	4.324563794369231e+15	-4.984036703193600e+14	7.233481899213850e+14
3.769140850101000e-10	6.240943039919879e+12	1.990029317473339e+15	4.324658504818890e+15	-4.983962195965826e+14	7.233247587975140e+14
3.769274275739000e-10	6.236911718649722e+12	1.990189404069195e+15	4.324753881635500e+15	-4.983885702054069e+14	7.233008820809945e+14
3.769407701377000e-10	6.232876143072581e+12	1.990349496073050e+15	4.324849264270110e+15	-4.983809211963013e+14	7.232770057465451e+14
3.769541127015000e-10	6.228837456341118e+12	1.990509601776510e+15	4.324944625868344e+15	-4.983732968251136e+14	7.232530358752252e+14
3.769674552653000e-10	6.224795210276094e+12	1.990669714144742e+15	4.325039988729059e+15	-4.983656768349026e+14	7.232290508635258e+14
3.769807978291000e-10	6.220749539763082e+12	1.990829831735974e+15	4.325135357208776e+15	-4.983580572136715e+14	7.232050662208062e+14
3.769941403930000e-10	6.216700724674774e+12	1.990989954487566e+15	4.325230731241379e+15	-4.983504379568647e+14	7.231810819423884e+14
3.770074829568000e-10	6.212331052759796e+12	1.991149887704101e+15	4.325326377490187e+15	-4.983428190600038e+14	7.231570980240389e+14
3.770208255206000e-10	6.207357104326175e+12	1.991309480926264e+15	4.325422299989652e+15	-4.983352005183727e+14	7.231331144609194e+14
3.770341680844000e-10	6.202380859643577e+12	1.991469079110427e+15	4.325518227827118e+15	-4.983275823272416e+14	7.231091312483000e+14
3.770475106482001e-10	6.197402604058960e+12	1.991628682186591e+15	4.325614160929584e+15	-4.983199644818206e+14	7.230851483813905e+14
3.770608532120000e-10	6.192422624042357e+12	1.991788290086754e+15	4.325710099223050e+15	-4.983123469772096e+14	7.230611658552911e+14
3.770741957758000e-10	6.187370950042757e+12	1.991947902740917e+15	4.325806042632514e+15	-4.983047298084686e+14	7.230371836650616e+14
3.770875383396000e-10	6.182461467036139e+12	1.992107520078080e+15	4.325901991080979e+15	-4.982971129705676e+14	7.230132018056721e+14
