# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.9800000e+03    3.6378977e+06    5.9953769e+06
1.9900000e+03    3.6341828e+06    5.9857489e+06
2.0000000e+03    3.6304680e+06    5.9761209e+06
2.0100000e+03    3.6267531e+06    5.9664929e+06
2.0200000e+03    3.6230383e+06    5.9568649e+06
2.0300000e+03    3.6193234e+06    5.9472369e+06
2.0400000e+03    3.6156086e+06    5.9376089e+06
2.0500000e+03    3.6118937e+06    5.9279809e+06
2.0600000e+03    3.6081789e+06    5.9183529e+06
2.0700000e+03    3.6044641e+06    5.9087249e+06
2.0800000e+03    3.6007492e+06    5.8990969e+06
2.0900000e+03    3.5970344e+06    5.8894689e+06
2.1000000e+03    3.5933195e+06    5.8798409e+06
2.1100000e+03    3.5896047e+06    5.8702129e+06
2.1200000e+03    3.5858898e+06    5.8605849e+06
2.1300000e+03    3.5821750e+06    5.8509569e+06
2.1400000e+03    3.5784601e+06    5.8413289e+06
2.1500000e+03    3.5747453e+06    5.8317009e+06
2.1600000e+03    3.5710305e+06    5.8220729e+06
2.1700000e+03    3.5673156e+06    5.8124449e+06
2.1800000e+03    3.5636008e+06    5.8028169e+06
2.1900000e+03    3.5598859e+06    5.7931889e+06
2.2000000e+03    3.5561711e+06    5.7835609e+06
2.2100000e+03    3.5524562e+06    5.7739329e+06
2.2200000e+03    3.5487414e+06    5.7643049e+06
2.2300000e+03    3.5450265e+06    5.7546769e+06
2.2400000e+03    3.5413117e+06    5.7450489e+06
2.2500000e+03    3.5375969e+06    5.7354209e+06
2.2600000e+03    3.5338820e+06    5.7257929e+06
2.2700000e+03    3.5301672e+06    5.7161649e+06
2.2800000e+03    3.5264523e+06    5.7065369e+06
2.2900000e+03    3.5227375e+06    5.6969089e+06
2.3000000e+03    3.5190226e+06    5.6872809e+06
2.3100000e+03    3.5153078e+06    5.6776529e+06
2.3200000e+03    3.5115929e+06    5.6680249e+06
2.3300000e+03    3.5078781e+06    5.6583969e+06
2.3400000e+03    3.5041633e+06    5.6487689e+06
2.3500000e+03    3.5004484e+06    5.6391409e+06
2.3600000e+03    3.4967336e+06    5.6295129e+06
2.3700000e+03    3.4930187e+06    5.6198849e+06
2.3800000e+03    3.4893039e+06    5.6102569e+06
2.3900000e+03    3.4855890e+06    5.6006289e+06
2.4000000e+03    3.4818742e+06    5.5910009e+06
2.4100000e+03    3.4781594e+06    5.5813729e+06
2.4200000e+03    3.4744445e+06    5.5717449e+06
2.4300000e+03    3.4707297e+06    5.5621169e+06
2.4400000e+03    3.4670148e+06    5.5524889e+06
2.4500000e+03    3.4633000e+06    5.5428609e+06
2.4600000e+03    3.4595851e+06    5.5332330e+06
2.4700000e+03    3.4558703e+06    5.5236050e+06
2.4800000e+03    3.4521554e+06    5.5139770e+06
2.4900000e+03    3.4484406e+06    5.5043490e+06
2.5000000e+03    3.4447258e+06    5.4947210e+06
2.5100000e+03    3.4410109e+06    5.4850930e+06
2.5200000e+03    3.4372961e+06    5.4754650e+06
2.5300000e+03    3.4335812e+06    5.4658370e+06
2.5400000e+03    3.4298664e+06    5.4562090e+06
2.5500000e+03    3.4261515e+06    5.4465810e+06
2.5600000e+03    3.4224367e+06    5.4369530e+06
2.5700000e+03    3.4187218e+06    5.4273250e+06
2.5800000e+03    3.4150070e+06    5.4176970e+06
2.5900000e+03    3.4112922e+06    5.4080690e+06
2.6000000e+03    3.4075773e+06    5.3984410e+06
2.6100000e+03    3.4038625e+06    5.3888130e+06
2.6200000e+03    3.4001476e+06    5.3791850e+06
2.6300000e+03    3.3964328e+06    5.3695570e+06
2.6400000e+03    3.3927179e+06    5.3599290e+06
2.6500000e+03    3.3890031e+06    5.3503010e+06
2.6600000e+03    3.3852882e+06    5.3406730e+06
2.6700000e+03    3.3815734e+06    5.3310450e+06
2.6800000e+03    3.3778586e+06    5.3214170e+06
2.6900000e+03    3.3741437e+06    5.3117890e+06
2.7000000e+03    3.3704289e+06    5.3021610e+06
2.7100000e+03    3.3667140e+06    5.2925330e+06
2.7200000e+03    3.3629992e+06    5.2829050e+06
2.7300000e+03    3.3592843e+06    5.2732770e+06
2.7400000e+03    3.3555695e+06    5.2636490e+06
2.7500000e+03    3.3518546e+06    5.2540210e+06
2.7600000e+03    3.3481398e+06    5.2443930e+06
2.7700000e+03    3.3444250e+06    5.2347650e+06
2.7800000e+03    3.3407101e+06    5.2251370e+06
2.7900000e+03    3.3369953e+06    5.2155090e+06
2.8000000e+03    3.3332804e+06    5.2058810e+06
2.8100000e+03    3.3295656e+06    5.1962530e+06
2.8200000e+03    3.3258507e+06    5.1866250e+06
2.8300000e+03    3.3221359e+06    5.1769970e+06
2.8400000e+03    3.3184210e+06    5.1673690e+06
2.8500000e+03    3.3147062e+06    5.1577410e+06
2.8600000e+03    3.3109914e+06    5.1481130e+06
2.8700000e+03    3.3072765e+06    5.1384850e+06
2.8800000e+03    3.3035617e+06    5.1288570e+06
2.8900000e+03    3.2998468e+06    5.1192290e+06
2.9000000e+03    3.2961320e+06    5.1096010e+06
2.9100000e+03    3.2924171e+06    5.0999730e+06
