# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.2300000e+00    2.2979562e+04    2.2775447e+04
2.2400000e+00    2.2931035e+04    2.2726625e+04
2.2500000e+00    2.2882509e+04    2.2677802e+04
2.2600000e+00    2.2834125e+04    2.2629122e+04
2.2700000e+00    2.2786011e+04    2.2580713e+04
2.2800000e+00    2.2738046e+04    2.2532452e+04
2.2900000e+00    2.2690337e+04    2.2484447e+04
2.3000000e+00    2.2642627e+04    2.2436443e+04
2.3100000e+00    2.2594918e+04    2.2388438e+04
2.3200000e+00    2.2547209e+04    2.2340434e+04
2.3300000e+00    2.2499500e+04    2.2292429e+04
2.3400000e+00    2.2451790e+04    2.2244424e+04
2.3500000e+00    2.2404081e+04    2.2196420e+04
2.3600000e+00    2.2356372e+04    2.2148415e+04
2.3700000e+00    2.2308663e+04    2.2100410e+04
2.3800000e+00    2.2260953e+04    2.2052406e+04
2.3900000e+00    2.2213244e+04    2.2004401e+04
2.4000000e+00    2.2165535e+04    2.1956396e+04
2.4100000e+00    2.2117826e+04    2.1908392e+04
2.4200000e+00    2.2070116e+04    2.1860387e+04
2.4300000e+00    2.2022407e+04    2.1812382e+04
2.4400000e+00    2.1974698e+04    2.1764378e+04
2.4500000e+00    2.1926989e+04    2.1716373e+04
2.4600000e+00    2.1879279e+04    2.1668368e+04
2.4700000e+00    2.1831570e+04    2.1620364e+04
2.4800000e+00    2.1783861e+04    2.1572359e+04
2.4900000e+00    2.1736152e+04    2.1524354e+04
2.5000000e+00    2.1688442e+04    2.1476350e+04
2.5100000e+00    2.1640733e+04    2.1428345e+04
2.5200000e+00    2.1593024e+04    2.1380341e+04
2.5300000e+00    2.1545315e+04    2.1332336e+04
2.5400000e+00    2.1497605e+04    2.1284331e+04
2.5500000e+00    2.1449896e+04    2.1236327e+04
2.5600000e+00    2.1402187e+04    2.1188322e+04
2.5700000e+00    2.1354478e+04    2.1140317e+04
2.5800000e+00    2.1306768e+04    2.1092313e+04
2.5900000e+00    2.1259059e+04    2.1044308e+04
2.6000000e+00    2.1211350e+04    2.0996303e+04
2.6100000e+00    2.1163641e+04    2.0948299e+04
2.6200000e+00    2.1115931e+04    2.0900294e+04
2.6300000e+00    2.1068222e+04    2.0852289e+04
2.6400000e+00    2.1020513e+04    2.0804285e+04
2.6500000e+00    2.0972804e+04    2.0756280e+04
2.6600000e+00    2.0925094e+04    2.0708275e+04
2.6700000e+00    2.0877385e+04    2.0660271e+04
2.6800000e+00    2.0829676e+04    2.0612266e+04
2.6900000e+00    2.0781967e+04    2.0564262e+04
2.7000000e+00    2.0734257e+04    2.0516257e+04
2.7100000e+00    2.0686548e+04    2.0468252e+04
2.7200000e+00    2.0638839e+04    2.0420248e+04
2.7300000e+00    2.0591130e+04    2.0372243e+04
2.7400000e+00    2.0543420e+04    2.0324238e+04
2.7500000e+00    2.0495711e+04    2.0276234e+04
2.7600000e+00    2.0448002e+04    2.0228229e+04
2.7700000e+00    2.0400293e+04    2.0180224e+04
2.7800000e+00    2.0352583e+04    2.0132220e+04
2.7900000e+00    2.0304874e+04    2.0084215e+04
2.8000000e+00    2.0257165e+04    2.0036210e+04
2.8100000e+00    2.0209456e+04    1.9988206e+04
2.8200000e+00    2.0161746e+04    1.9940201e+04
2.8300000e+00    2.0114037e+04    1.9892196e+04
2.8400000e+00    2.0066328e+04    1.9844192e+04
2.8500000e+00    2.0018619e+04    1.9796187e+04
2.8600000e+00    1.9970909e+04    1.9748182e+04
2.8700000e+00    1.9923200e+04    1.9700178e+04
2.8800000e+00    1.9875491e+04    1.9652173e+04
2.8900000e+00    1.9827781e+04    1.9604169e+04
2.9000000e+00    1.9780072e+04    1.9556164e+04
2.9100000e+00    1.9732363e+04    1.9508159e+04
