        Frequency / GHz                Z Real (kOhm/m)
    274.85      0.40290E-02
    275.32      0.40261E-02
    275.79      0.40234E-02
    276.26      0.40203E-02
    276.73      0.40154E-02
    277.19      0.40095E-02
    277.66      0.40036E-02
    278.13      0.39963E-02
    278.60      0.39877E-02
    279.07      0.39794E-02
    279.54      0.39713E-02
    280.00      0.39635E-02
    280.47      0.39569E-02
    280.94      0.39514E-02
    281.41      0.39465E-02
    281.88      0.39432E-02
    282.35      0.39408E-02
    282.81      0.39376E-02
    283.28      0.39345E-02
    283.75      0.39319E-02
    284.22      0.39280E-02
    284.69      0.39225E-02
    285.15      0.39162E-02
    285.62      0.39089E-02
    286.09      0.39010E-02
    286.56      0.38937E-02
    287.03      0.38860E-02
    287.50      0.38778E-02
    287.96      0.38714E-02
    288.43      0.38668E-02
    288.90      0.38625E-02
    289.37      0.38590E-02
    289.84      0.38565E-02
    290.31      0.38540E-02
    290.77      0.38515E-02
    291.24      0.38491E-02
    291.71      0.38451E-02
