        Frequency / GHz                Z Real (kOhm/m)
    169.50     -0.15354E-02
    169.97     -0.15149E-02
    170.44     -0.15006E-02
    170.91     -0.14971E-02
    171.37     -0.15075E-02
    171.84     -0.15334E-02
    172.31     -0.15730E-02
    172.78     -0.16214E-02
    173.25     -0.16727E-02
    173.71     -0.17180E-02
    174.18     -0.17481E-02
    174.65     -0.17569E-02
    175.12     -0.17434E-02
    175.59     -0.17124E-02
    176.06     -0.16762E-02
    176.52     -0.16507E-02
    176.99     -0.16499E-02
    177.46     -0.16811E-02
    177.93     -0.17405E-02
    178.40     -0.18112E-02
    178.87     -0.18691E-02
    179.33     -0.18946E-02
    179.80     -0.18832E-02
    180.27     -0.18519E-02
    180.74     -0.18304E-02
    181.21     -0.18386E-02
    181.67     -0.18694E-02
    182.14     -0.18968E-02
    182.61     -0.19037E-02
    183.08     -0.18995E-02
    183.55     -0.19059E-02
    184.02     -0.19303E-02
    184.48     -0.19613E-02
    184.95     -0.19883E-02
    185.42     -0.20133E-02
    185.89     -0.20407E-02
    186.36     -0.20698E-02
    186.83     -0.20983E-02
    187.29     -0.21247E-02
    187.76     -0.21468E-02
    188.23     -0.21623E-02
    188.70     -0.21701E-02
    189.17     -0.21715E-02
    189.63     -0.21711E-02
    190.10     -0.21738E-02
    190.57     -0.21820E-02
    191.04     -0.21956E-02
    191.51     -0.22138E-02
    191.98     -0.22337E-02
    192.44     -0.22516E-02
    192.91     -0.22656E-02
    193.38     -0.22740E-02
    193.85     -0.22756E-02
    194.32     -0.22710E-02
    194.79     -0.22617E-02
    195.25     -0.22499E-02
    195.72     -0.22393E-02
    196.19     -0.22340E-02
    196.66     -0.22364E-02
    197.13     -0.22465E-02
    197.59     -0.22620E-02
    198.06     -0.22783E-02
    198.53     -0.22913E-02
    199.00     -0.23013E-02
    199.47     -0.23099E-02
    199.94     -0.23184E-02
    200.40     -0.23283E-02
    200.87     -0.23397E-02
    201.34     -0.23515E-02
    201.81     -0.23637E-02
    202.28     -0.23761E-02
    202.75     -0.23878E-02
    203.21     -0.23987E-02
    203.68     -0.24094E-02
    204.15     -0.24194E-02
    204.62     -0.24287E-02
    205.09     -0.24382E-02
    205.55     -0.24481E-02
    206.02     -0.24584E-02
    206.49     -0.24700E-02
    206.96     -0.24830E-02
    207.43     -0.24969E-02
    207.90     -0.25115E-02
    208.36     -0.25270E-02
    208.83     -0.25422E-02
    209.30     -0.25571E-02
    209.77     -0.25717E-02
    210.24     -0.25853E-02
    210.71     -0.25972E-02
    211.17     -0.26084E-02
    211.64     -0.26186E-02
    212.11     -0.26281E-02
    212.58     -0.26377E-02
    213.05     -0.26479E-02
    213.51     -0.26585E-02
    213.98     -0.26703E-02
    214.45     -0.26839E-02
    214.92     -0.26987E-02
    215.39     -0.27144E-02
    215.86     -0.27311E-02
    216.32     -0.27477E-02
    216.79     -0.27634E-02
    217.26     -0.27786E-02
    217.73     -0.27927E-02
    218.20     -0.28051E-02
    218.67     -0.28166E-02
    219.13     -0.28273E-02
    219.60     -0.28371E-02
    220.07     -0.28469E-02
    220.54     -0.28574E-02
    221.01     -0.28685E-02
    221.47     -0.28806E-02
    221.94     -0.28945E-02
    222.41     -0.29094E-02
    222.88     -0.29251E-02
    223.35     -0.29420E-02
    223.82     -0.29591E-02
    224.28     -0.29755E-02
    224.75     -0.29914E-02
    225.22     -0.30063E-02
    225.69     -0.30193E-02
    226.16     -0.30313E-02
    226.63     -0.30426E-02
    227.09     -0.30528E-02
    227.56     -0.30628E-02
    228.03     -0.30735E-02
    228.50     -0.30848E-02
    228.97     -0.30969E-02
    229.43     -0.31108E-02
    229.90     -0.31261E-02
    230.37     -0.31419E-02
    230.84     -0.31589E-02
    231.31     -0.31762E-02
    231.78     -0.31927E-02
    232.24     -0.32088E-02
    232.71     -0.32243E-02
    233.18     -0.32379E-02
    233.65     -0.32501E-02
    234.12     -0.32616E-02
    234.59     -0.32722E-02
    235.05     -0.32823E-02
    235.52     -0.32933E-02
    235.99     -0.33048E-02
    236.46     -0.33168E-02
    236.93     -0.33306E-02
    237.39     -0.33458E-02
    237.86     -0.33617E-02
    238.33     -0.33787E-02
    238.80     -0.33963E-02
    239.27     -0.34130E-02
    239.74     -0.34291E-02
    240.20     -0.34447E-02
    240.67     -0.34587E-02
    241.14     -0.34713E-02
    241.61     -0.34833E-02
    242.08     -0.34942E-02
    242.55     -0.35044E-02
    243.01     -0.35155E-02
    243.48     -0.35273E-02
    243.95     -0.35394E-02
    244.42     -0.35531E-02
    244.89     -0.35683E-02
    245.35     -0.35841E-02
    245.82     -0.36009E-02
    246.29     -0.36184E-02
    246.76     -0.36353E-02
    247.23     -0.36513E-02
    247.70     -0.36670E-02
    248.16     -0.36812E-02
    248.63     -0.36938E-02
    249.10     -0.37061E-02
    249.57     -0.37174E-02
    250.04     -0.37278E-02
    250.51     -0.37387E-02
    250.97     -0.37505E-02
    251.44     -0.37627E-02
    251.91     -0.37763E-02
    252.38     -0.37915E-02
    252.85     -0.38072E-02
    253.31     -0.38235E-02
    253.78     -0.38410E-02
    254.25     -0.38578E-02
    254.72     -0.38737E-02
    255.19     -0.38895E-02
    255.66     -0.39039E-02
    256.12     -0.39163E-02
    256.59     -0.39284E-02
    257.06     -0.39400E-02
    257.53     -0.39505E-02
    258.00     -0.39614E-02
    258.47     -0.39732E-02
    258.93     -0.39853E-02
    259.40     -0.39986E-02
    259.87     -0.40137E-02
    260.34     -0.40295E-02
    260.81     -0.40458E-02
    261.27     -0.40629E-02
    261.74     -0.40796E-02
    262.21     -0.40953E-02
    262.68     -0.41111E-02
    263.15     -0.41257E-02
    263.62     -0.41381E-02
    264.08     -0.41499E-02
    264.55     -0.41615E-02
    265.02     -0.41720E-02
    265.49     -0.41828E-02
    265.96     -0.41948E-02
    266.43     -0.42071E-02
    266.89     -0.42200E-02
    267.36     -0.42349E-02
    267.83     -0.42506E-02
    268.30     -0.42667E-02
    268.77     -0.42838E-02
    269.23     -0.43004E-02
    269.70     -0.43157E-02
    270.17     -0.43310E-02
    270.64     -0.43456E-02
    271.11     -0.43579E-02
    271.58     -0.43695E-02
    272.04     -0.43810E-02
    272.51     -0.43915E-02
    272.98     -0.44017E-02
    273.45     -0.44134E-02
    273.92     -0.44257E-02
    274.39     -0.44385E-02
    274.85     -0.44530E-02
    275.32     -0.44682E-02
    275.79     -0.44837E-02
    276.26     -0.45004E-02
    276.73     -0.45170E-02
    277.19     -0.45317E-02
    277.66     -0.45460E-02
    278.13     -0.45602E-02
    278.60     -0.45724E-02
    279.07     -0.45832E-02
    279.54     -0.45941E-02
    280.00     -0.46043E-02
    280.47     -0.46143E-02
    280.94     -0.46256E-02
    281.41     -0.46373E-02
    281.88     -0.46495E-02
    282.35     -0.46640E-02
    282.81     -0.46794E-02
    283.28     -0.46939E-02
    283.75     -0.47093E-02
    284.22     -0.47255E-02
    284.69     -0.47403E-02
    285.15     -0.47540E-02
    285.62     -0.47669E-02
